"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","V14"
1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.12225117982202
1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.27826372536237
1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.43823868932276
1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.58009519613627
1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,-1.717163396015
1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.74527419075746
1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,-1.76512467826784
1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.7728438662317
1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.78265226606266
1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.7618694948345
1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.7276173441098
1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.71012365938649
1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.69909569412523
1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.67221299883909
1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.65364259551372
1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.62787972989349
1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.59520193364678
1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.57513854722548
1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.55161235985687
1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.48798706221805
1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.36117375416329
1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,-1.10471529207636
1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.651496912282942
1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,-0.249724357145431
1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.129923942612792
1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.495907059766962
1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.859822484422242
1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.21909744599309
1977,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.5345492244216
1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.74849128161086
1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,1.91077980067605
1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,2.03728432943601
1981,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2.12389992285077
1982,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,2.1417473353642
1983,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,2.10924568652568
1984,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,1.98574996944945
1985,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.76489302514488
1986,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,1.60169294064615
1987,662,2,2,2,2,2,2,NA,NA,NA,0,0,0,NA,NA,2,2,2,2,2,NA,NA,NA,0,0,0,NA,NA,1.48864451392142
1988,662,2,2,2,2,1,1,NA,NA,NA,0,NA,0,NA,NA,2,2,2,1,1,NA,NA,NA,0,NA,0,NA,NA,1.45433304610749
1989,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.37453593311476
1990,662,2,2,2,2,2,1,NA,NA,NA,0,NA,NA,NA,0,2,2,2,2,1,NA,NA,NA,0,NA,NA,NA,0,1.27475339516654
1991,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,0.979003003877675
1992,662,2,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,2,2,2,1,2,NA,NA,NA,0,NA,NA,NA,0,0.873868580623335
1993,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,0.977901098281318
1994,662,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,0,1.02556341872772
1995,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,1.01020645988674
1996,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,0.974209976447016
1997,662,2,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,5,0,NA,NA,NA,0,0.975442913451169
1998,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,0.94875068833727
1999,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,0.834457097066408
2000,662,2,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,2,2,2,1,1,NA,NA,6,0,NA,NA,NA,0,0.615784035277792
2001,662,2,2,2,0,1,2,NA,NA,6,0,NA,NA,NA,0,2,2,0,1,2,NA,NA,6,0,NA,NA,NA,0,0.2019749895638
2002,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,-0.0907041247945675
2003,662,2,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,2,2,1,1,2,NA,NA,6,0,NA,NA,NA,0,-0.34279921787896
2004,662,2,1,1,1,1,3,NA,NA,6,0,NA,NA,NA,0,1,1,1,1,3,NA,NA,6,0,NA,NA,NA,0,-0.756616095511579
2005,662,2,2,1,1,0,3,NA,NA,6,0,NA,NA,NA,0,2,1,1,0,3,NA,NA,6,0,NA,NA,NA,0,-0.915761235547084
2006,662,2,2,1,1,0,3,NA,NA,NA,0,NA,NA,NA,0,2,1,1,0,3,NA,NA,NA,0,NA,NA,NA,0,-0.8838231533071
2007,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,-0.782197198286689
2008,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,-0.714763794294071
2009,662,2,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,2,1,1,1,3,NA,NA,NA,0,NA,NA,NA,0,-0.720840500215599
2010,662,2,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,2,1,2,1,3,NA,NA,NA,0,NA,NA,NA,0,-0.682713112391939
1949,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.02917138867722
1950,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.10340793751108
1951,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.17426444660707
1952,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.24234636890589
1953,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.3013715872391
1954,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.35130771227864
1955,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1.40094649615161
1956,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.45409930877202
1957,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.49678114589347
1958,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.52846396668645
1959,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.56673106743695
1960,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.60379723672347
1961,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.63517316536099
1962,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.66823170775401
1963,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.69989093007002
1964,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.7273231960367
1965,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.75508243449747
1966,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.78351112085253
1967,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.80924588045748
1968,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.83295582253886
1969,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.85196840729969
1970,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.86979978361621
1971,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.89051994158122
1972,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.91054118747209
1973,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.92035834328451
1974,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.93928682441466
1975,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.96404056474097
1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,0,0,NA,1.9819897522095
1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.98521357230293
1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.97283960326288
1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.95711652779178
1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.93706084793796
1981,194,20,2,2,2,2,NA,1,NA,NA,0,0,0,0,NA,2,2,2,2,NA,1,NA,NA,0,0,0,0,NA,1.91208885769557
1982,194,20,2,2,2,1,NA,1,NA,NA,0,0,0,0,NA,2,2,2,1,NA,1,NA,NA,0,0,0,0,NA,1.85391067192648
1983,194,20,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,1.91849971480655
1984,194,20,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,2,2,2,1,1,1,NA,NA,0,0,0,NA,NA,2.03811033872095
1985,194,20,2,2,2,2,NA,1,1,NA,0,0,0,NA,NA,2,2,2,2,NA,1,1,NA,0,0,0,NA,NA,2.20963348187188
1986,194,20,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2.32949758130798
1987,194,20,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2,2,2,2,1,1,1,NA,0,0,0,NA,NA,2.39889937860443
1988,194,20,2,2,2,2,NA,1,1,NA,0,NA,0,NA,NA,2,2,2,2,NA,1,1,NA,0,NA,0,NA,NA,2.41160586765404
1989,194,20,2,2,2,2,NA,1,1,NA,0,NA,NA,NA,0,2,2,2,2,NA,1,1,NA,0,NA,NA,NA,0,2.38143290758976
1990,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2.29700979766029
1991,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2.15123114927031
1992,194,20,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,1.95288657879544
1993,194,20,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,2,2,2,2,1,1,1,NA,0,NA,NA,NA,0,1.986748955401
1994,194,20,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,2,2,2,1,1,1,2,NA,0,NA,NA,NA,0,1.92896019264746
1995,194,20,2,2,2,2,NA,1,2,1,0,NA,NA,NA,0,2,2,2,2,NA,1,2,1,0,NA,NA,NA,0,2.03181840683347
1996,194,20,2,2,2,2,1,1,1,1,0,NA,NA,NA,0,2,2,2,2,1,1,1,1,0,NA,NA,NA,0,2.15535595550366
1997,194,20,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2.18551329111356
1998,194,20,2,2,2,1,NA,1,1,1,0,NA,NA,NA,0,2,2,2,1,NA,1,1,1,0,NA,NA,NA,0,2.08538704027811
1999,194,20,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2,2,2,2,NA,1,1,1,0,NA,NA,NA,0,2.01732080918329
2000,194,20,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,1.79801844113521
2001,194,20,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,2,2,2,1,1,1,NA,2,0,NA,NA,NA,0,1.62816657217812
2002,194,20,2,2,2,1,1,2,NA,1,0,NA,NA,NA,0,2,2,2,1,1,2,NA,1,0,NA,NA,NA,0,1.47174278841623
2003,194,20,2,2,2,1,1,1,NA,6,0,NA,NA,NA,0,2,2,2,1,1,1,NA,6,0,NA,NA,NA,0,1.48384761596602
2004,194,20,2,2,2,1,1,1,NA,3,0,NA,NA,NA,0,2,2,2,1,1,1,NA,3,0,NA,NA,NA,0,1.45174765758012
2005,194,20,2,1,2,1,1,1,NA,1,0,NA,NA,NA,0,2,1,2,1,1,1,NA,1,0,NA,NA,NA,0,1.32443550645099
2006,194,20,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,1.21539844637977
2007,194,20,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.1127896716176
2008,194,20,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,1.13785152343723
2009,194,20,2,2,2,2,1,1,NA,NA,0,NA,NA,NA,0,2,2,2,2,1,1,NA,NA,0,NA,NA,NA,0,1.35108547879474
2010,194,20,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,2,1,2,1,1,1,NA,NA,0,NA,NA,NA,0,1.28815257263348
1973,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.02366617250869
1974,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.116978604548
1975,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1.21038444016431
1976,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.29544182875208
1977,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.35625368082416
1978,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.40389136244364
1979,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.44483780064635
1980,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.46691985347903
1981,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.47314017630845
1982,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,1.47254082359181
1983,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.4473211956591
1984,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.41313888776887
1985,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.36268642358573
1986,NA,31,NA,NA,NA,NA,1,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0,0,0,NA,NA,1.28782483631458
1987,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,NA,NA,1.41959030408772
1988,NA,31,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,NA,1.52360682463133
1989,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.61380808837051
1990,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.64151752566652
1991,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.61798435457328
1992,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.55208082688111
1993,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.45576761793221
1994,NA,31,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,NA,0,1.31768662330996
1995,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.46685600904494
1996,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.5551764788416
1997,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.6161063959807
1998,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.63077529795521
1999,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.56822252905401
2000,NA,31,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,0,1.43348859192386
2001,134,31,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,0,2,2,2,1,1,1,NA,NA,0,NA,NA,NA,0,1.22809399321568
2002,NA,31,NA,NA,NA,NA,2,2,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,2,NA,NA,0,NA,NA,NA,0,0.884995515674645
2003,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,0.655152548037035
2004,134,31,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,0.694762895610697
2005,134,31,2,2,2,1,2,1,NA,NA,0,NA,NA,NA,0,2,2,2,1,2,1,NA,NA,0,NA,NA,NA,0,0.747567732288729
2006,134,31,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,1,NA,NA,0,NA,NA,NA,0,0.577887941534995
2007,134,31,2,1,2,1,3,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,3,2,NA,NA,0,NA,NA,NA,0,0.283230340833356
2008,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,0.236165488913665
2009,134,31,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,2,2,NA,NA,0,NA,NA,NA,0,0.241397036411402
2010,134,31,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,2,1,2,1,1,2,NA,NA,0,NA,NA,NA,0,0.339175992307696
1949,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.245609183164126
1950,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.224478346560891
1951,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.183933386557477
1952,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.104692155983228
1953,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.00296785502345443
1954,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-0.113116881010338
