YEAR	CIRI	COW	DISAP	KILL	POLPRIS	TORT	Amnesty	State	hathaway	ITT	genocide	rummel	massive_repression	executions	killing	x.means
1949		2										1	0	0		-1.32603992193575
1950		2										1	0	0		-1.38576838955831
1951		2										1	0	0		-1.42311455127283
1952		2										1	0	0		-1.45167810399758
1953		2										1	0	1		-1.48112326053106
1954		2										1	0	0		-1.45815398503417
1955		2										1	0	0		-1.43839714829002
1956		2									0	1	0	0		-1.41809033041561
1957		2									0	1	0	0		-1.40977317014795
1958		2									0	1	0	0		-1.40392314454241
1959		2									0	1	0	0		-1.4030407555742
1960		2									0	1	0	0		-1.39952458965162
1961		2									0	1	0	0		-1.39819508012229
1962		2									0	1	0	0		-1.39619898367948
1963		2									0	1	0	0		-1.39492728361071
1964		2									0	1	0	0		-1.3931287087847
1965		2									0	1	0	0		-1.38374069592204
1966		2									0	1	0	0		-1.36643405285961
1967		2									0	1	0	0		-1.33279169498329
1968		2									0	1	0	0		-1.2678257364247
1969		2									0	1	0	0		-1.14707085150943
1970		2									0	1	0	0		-0.921978133105738
1971		2									0	0	0	0		-0.513574003310837
1972		2									0	0	0	0		-0.158724699201904
1973		2									0	0	0	0		0.18009724849694
1974		2									0	0	0	0		0.515057838182116
1975		2									0	0	0	0		0.846627855813222
1976		2					1				0	0	0	0		1.17832148184539
1977		2					1				0	0	0	0		1.46015104475647
1978		2					1				0	0	0	0		1.66374421600725
1979		2					1				0	0	0	0		1.82385237237383
1980		2					1				0	0	0	0		1.9576465636448
1981	662	2	2	2	2	2	1				0	0	0	0		2.0439681970036
1982	662	2	2	2	2	2	1				0	0	0	0		2.07774915891525
1983	662	2	2	2	2	2	1				0	0	0			2.06860550650317
1984	662	2	2	2	2	2	1				0	0	0			1.99678079110904
1985	662	2	2	2	2	1	1				0	0	0			1.82104446131834
1986	662	2	2	2	2	1	1				0	0	0			1.69424185158345
1987	662	2	2	2	2	2	2				0	0	0			1.61881390261512
1988	662	2	2	2	2	1	1				0		0			1.60065763491777
1989	662	2	2	2	2	1	1				0				0	1.56028972575029
1990	662	2	2	2	2	2	1				0				0	1.51039166752974
1991	662	2	2	2	2	1	2				0				0	1.29751030730043
1992	662	2	2	2	2	1	2				0				0	1.25260994905241
1993	662	2	2	2	2	1	1				0				0	1.38177732628634
1994	662	2	2	2	2	1	1				0				0	1.46188750215608
1995	662	2	2	2	2	1	1			5	0				0	1.48557921550366
1996	662	2	2	2	2	1	1			5	0				0	1.49418350021789
1997	662	2	2	2	2	1	1			5	0				0	1.52228017640746
1998	662	2	2	2	2	1	1			6	0				0	1.52610896634843
1999	662	2	2	2	2	1	1			6	0				0	1.45736881155767
2000	662	2	2	2	2	1	1			6	0				0	1.29596134783839
2001	662	2	2	2	0	1	2			6	0				0	0.970922685427141
2002	662	2	2	2	1	1	2			6	0				0	0.752862036972758
2003	662	2	2	2	1	1	2			6	0				0	0.56142077674865
2004	662	2	1	1	1	1	3			6	0				0	0.226470786469568
2005	662	2	2	1	1	0	3			6	0				0	0.118040101462009
2006	662	2	2	1	1	0	3				0				0	0.168690161397843
2007	662	2	2	1	1	1	3				0				0	0.281280876346283
2008	662	2	2	1	2	1	3				0				0	0.35822615532883
2009	662	2	2	1	1	1	3				0				0	0.368515105444298
2010	662	2	2	1	2	1	3				0				0	0.411294504943236
1949		20										0	0	0		0.963301775845698
1950		20										0	0	0		1.02983257404215
1951		20										0	0	0		1.08942182544707
1952		20										0	0	0		1.14534689402703
1953		20										0	0	0		1.20426892919207
1954		20										0	0	0		1.25470343573963
1955		20										0	0	0		1.3026101404453
1956		20									0	0	0	0		1.34078102388128
1957		20									0	0	0	0		1.38211568924767
1958		20									0	0	0	0		1.4215089354622
1959		20									0	0	0	0		1.45261115049724
1960		20									0	0	0	0		1.4874824177511
1961		20									0	0	0	0		1.5202342873738
1962		20									0	0	0	0		1.55207089857647
1963		20									0	0	0	0		1.57506915009163
1964		20									0	0	0	0		1.59574209203486
1965		20									0	0	0	0		1.61760155339851
1966		20									0	0	0	0		1.64138689657985
1967		20									0	0	0	0		1.66829862199836
1968		20									0	0	0	0		1.68869482930496
1969		20									0	0	0	0		1.70766899423742
1970		20									0	0	0	0		1.72996230978462
1971		20									0	0	0	0		1.75700682029652
1972		20									0	0	0	0		1.77702264704001
1973		20									0	0	0	0		1.80051767634879
1974		20									0	0	0	0		1.82616258337758
1975		20									0	0	0	0		1.85293244297401
1976		20					1	1			0	0	0	0		1.87397973067425
1977		20						1			0	0	0	0		1.88100041821525
1978		20						1			0	0	0	0		1.88607028384141
1979		20						1			0	0	0	0		1.88680262553925
1980		20						1			0	0	0	0		1.88306430268644
1981	194	20	2	2	2	2		1			0	0	0	0		1.87819121434001
1982	194	20	2	2	2	1		1			0	0	0	0		1.84216300914322
1983	194	20	2	2	2	1	1	1			0	0	0			1.91459691178146
1984	194	20	2	2	2	1	1	1			0	0	0			2.03956365852906
1985	194	20	2	2	2	2		1	1		0	0	0			2.21214451036513
1986	194	20	2	2	2	2	1	1	1		0	0	0			2.35199147701948
1987	194	20	2	2	2	2	1	1	1		0	0	0			2.45203717640485
1988	194	20	2	2	2	2		1	1		0		0			2.49444341922877
1989	194	20	2	2	2	2		1	1		0				0	2.49916346976891
1990	194	20	2	2	2	2	1	1	1		0				0	2.45391583358557
1991	194	20	2	2	2	2	1	1	1		0				0	2.36149955772013
1992	194	20	2	2	2	1	1	1	2		0				0	2.21876114483316
1993	194	20	2	2	2	2	1	1	1		0				0	2.28369777220979
1994	194	20	2	2	2	1	1	1	2		0				0	2.27301533488129
1995	194	20	2	2	2	2		1	2	1	0				0	2.39988395956547
1996	194	20	2	2	2	2	1	1	1	1	0				0	2.55261254912532
1997	194	20	2	2	2	2		1	1	1	0				0	2.61277813414447
1998	194	20	2	2	2	1		1	1	1	0				0	2.55625506232364
1999	194	20	2	2	2	2		1	1	1	0				0	2.52957087272997
2000	194	20	2	2	2	1	1	1		2	0				0	2.35596005317694
2001	194	20	2	2	2	1	1	1		2	0				0	2.23070729608186
2002	194	20	2	2	2	1	1	2		1	0				0	2.11346851737567
2003	194	20	2	2	2	1	1	1		6	0				0	2.13939519235182
2004	194	20	2	2	2	1	1	1		3	0				0	2.1288716377745
2005	194	20	2	1	2	1	1	1		1	0				0	2.0354250903416
2006	194	20	2	1	2	1	1	1			0				0	1.95773759981779
2007	194	20	2	1	2	1	2	1			0				0	1.88856063471947
2008	194	20	2	1	2	1	2	1			0				0	1.91631608649418
2009	194	20	2	2	2	2	1	1			0				0	2.1034549015
2010	194	20	2	1	2	1	1	1			0				0	2.0505309310819
1973		31									0	0	0	0		1.13778847369335
1974		31									0	0	0	0		1.21700259112842
1975		31									0	0	0	0		1.29224310482815
1976		31						1			0	0	0	0		1.36285255179957
1977		31						1			0	0	0	0		1.42103739142869
1978		31						1			0	0	0	0		1.47441536102929
1979		31						1			0	0	0	0		1.51637123156274
1980		31						1			0	0	0	0		1.54858754079092
1981		31						1			0	0	0	0		1.57055265995757
1982		31						1			0	0	0	0		1.58188791064918
1983		31						1			0	0	0			1.58208150195969
1984		31						1			0	0	0			1.56660190180884
1985		31						1			0	0	0			1.53989195050007
1986		31					1	2			0	0	0			1.49587244149726
1987		31						1			0	0	0			1.62868036901228
1988		31						1			0		0			1.7381010670202
1989		31					1	1			0				0	1.83719350209369
1990		31					1	1			0				0	1.88992548429993
1991		31					1	1			0				0	1.90964296914526
1992		31					1	1			0				0	1.89428582377694
1993		31					1	1			0				0	1.84528081363387
1994		31					1	2			0				0	1.77152481433704
1995		31					1	1			0				0	1.93738409371898
1996		31					1	1			0				0	2.04353214932355
1997		31					1	1			0				0	2.12722132130847
1998		31					1	1			0				0	2.16140315787542
1999		31					1	1			0				0	2.13285860057757
2000		31					1	1			0				0	2.04100155993826
2001	134	31	2	2	2	1	1	1			0				0	1.8742157778895
2002		31					2	2			0				0	1.58406511355869
2003	134	31	2	1	2	1	2	2			0				0	1.41761594830177
2004	134	31	2	1	2	1	1	2			0				0	1.47231543171606
2005	134	31	2	2	2	1	2	1			0				0	1.5324352776557
2006	134	31	2	1	2	1	2	1			0				0	1.40245173327741
2007	134	31	2	1	2	1	3	2			0				0	1.17599448632351
2008	134	31	2	1	2	1	2	2			0				0	1.15140144887335
2009	134	31	2	1	2	1	2	2			0				0	1.16666992186139
2010	134	31	2	1	2	1	1	2			0				0	1.24853137085251
1949		40										0	0	0		0.0449424137712891
1950		40										0	0	0		0.0300157651953929
1951		40										0	0	0		0.0022611647829339
1952		40										0	0	0		-0.0412674606151449
1953		40										0	0	0		-0.101751412014749
1954		40										0	0	0		-0.179384026131639
1955		40										0	0	0		-0.282987624815899
1956		40									0	0	0	0		-0.413474736185896
1957		40									0	0	0	0		-0.582863790156766
1958		40									0	0	0	0		-0.817120828871339
1959		40									0	1	0	1		-1.16883033844735
1960		40									0	1	0	1		-1.3524064734114
1961		40									0	1	0	1		-1.44986651649265
1962		40									0	1	0	1		-1.49721426618981
1963		40									0	1	0	1		-1.51800256951603
1964		40									0	1	0	1		-1.5267743770213
1965		40									0	1	0	1		-1.53210296245612
1966		40									0	1	0	1		-1.53468233234487
1967		40									0	1	0	1		-1.52960381077104
1968		40									0	1	0	1		-1.51652513320115
1969		40									0	1	0	1		-1.49964574486038
1970		40									0	1	0	0		-1.4511291245102
1971		40									0	1	0	0		-1.42830056838752
1972		40									0	1	0	0		-1.4134584842251
1973		40									0	1	0	0		-1.39898178110822
1974		40									0	1	0	0		-1.38905718977715
1975		40									0	1	0	0		-1.36961042906621
1976		40					3				0	1	0	0		-1.34024754026344
1977		40					3	4			0	1	0	0		-1.4347939679535
1978		40					4				0	1	0	0		-1.42227007556715
1979		40					3	3			0	1	0	0		-1.31771936533009
1980		40					3	3			0	1	0	0		-1.2497539065502
1981	233	40	1	2	0	1	3	3			0	1	0	0		-1.21176267674709
1982	233	40	1	1	0	0	3	3			0	1	0	0		-1.28937698880074
1983	233	40	0	1	0	0	3	3			0	1	0			-1.29380691010377
1984	233	40	1	1	0	0	3	3			0	1	0			-1.25085777157709
1985	233	40	1	1	1	0	3	3	4		0	1	0			-1.24775141940099
1986	233	40	1	0	0	0	3	4	4		0	1	0			-1.34257022272546
1987	233	40	1	1	0	0	3	3	4		0	1	0			-1.14500829626458
1988	233	40	2	2	0	0	3	3	4		0		0			-0.905876263442347
1989	233	40	2	1	0	0	3	3	3		0				0	-0.774981331173729
1990	233	40	2	1	0	0	3	3	3		0				0	-0.626092734978013
1991	233	40	2	2	0	0	3	3	3		0				0	-0.545313191926507
1992	233	40	2	1	0	0	3	3	4		0				0	-0.567302757532401
1993	233	40	2	1	0	0	3	3	4		0				0	-0.540792136188166
1994	233	40	2	1	0	0	3	3	3		0				0	-0.48386131637253
1995	233	40	2	1	0	0	4	3	3	4	0				0	-0.522768377357719
1996	233	40	2	1	0	0	3	3	3	4	0				0	-0.447347307647485
1997	233	40	2	2	0	0	3	3	3	4	0				0	-0.319451659544936
1998	233	40	2	1	0	0	3	3	2	6	0				0	-0.231343757772613
1999	233	40	2	2	0	0	3	3	2	4	0				0	-0.076248163353129
2000	233	40	2	1	0	1	3	3		3	0				0	0.00202325549698287
2001	233	40	2	2	0	1	3	3		3	0				0	0.105970566291566
2002	233	40	2	2	0	0	2	3		3	0				0	0.197247001354152
2003	233	40	2	2	0	0	2	3		3	0				0	0.26653308202452
2004	233	40	2	2	0	0	2	3		3	0				0	0.27490161404687
2005	233	40	2	2	0	0	2	3		3	0				0	0.24800778012801
2006	233	40	2	2	0	0	3	3			0				0	0.148644092054452
2007	233	40	2	1	0	0	3	3			0				0	0.0534506322922231
2008	233	40	2	2	0	0	3	3			0				0	0.0698208852540373
2009	233	40	2	2	0	0	3	3			0				0	0.0819284783217633
2010	233	40	2	2	0	0	3	3			0				0	0.0879256680425099
1949		41										0	0	0		0.266212102498384
1950		41										0	0	0		0.271326822672336
1951		41										0	0	0		0.273700158210837
1952		41										0	0	0		0.263606068761532
1953		41										0	0	0		0.234846504881331
1954		41										0	0	0		0.208775328437035
1955		41										0	0	0		0.170887142003909
1956		41									0	0	0	0		0.121827137874917
1957		41									0	0	0	0		0.0632109399097045
1958		41									0	0	0	1		-0.0117298417488485
1959		41									0	0	0	0		-0.0308072714639715
1960		41									0	0	0	0		-0.074363268210959
1961		41									0	0	0	1		-0.130674902299893
1962		41									0	0	0	0		-0.136634045657858
1963		41									0	0	0	0		-0.169456739401925
1964		41									0	0	0	1		-0.221904222766949
1965		41									0	0	0	0		-0.231940694287037
1966		41									0	0	0	1		-0.270561388828004
1967		41									0	0	0	1		-0.265750685943559
1968		41									0	0	0	0		-0.213275538226624
1969		41									0	0	0	0		-0.188615017184585
1970		41									0	0	0	0		-0.188592954134855
1971		41									0	0	0	0		-0.208392596618637
1972		41									0	0	0	0		-0.256818015940158
1973		41									0	0	0	0		-0.326738345754766
1974		41									0	0	0	0		-0.428886815146032
1975		41									0	0	0	0		-0.569373724494627
1976		41					3	3			0	0	0	0		-0.767499473039954
1977		41					4	3			0	0	0	0		-0.896246503188118
1978		41					4	2			0	0	0	0		-0.859201490491665
1979		41					3	3			0	0	0	0		-0.84905112279139
1980		41					4	3			0	0	0	0		-0.848871984764885
1981	323	41	2	1	1	1	3	3			0	0	0	0		-0.701435857625571
1982	323	41	2	1	1	1	3	2			0	0	0	0		-0.576739801478611
1983	323	41	2	1	1	1	3	3			0	0	0			-0.639638535840353
1984	323	41	2	1	0	0	3	3			0	0	0			-0.725499901620475
1985	323	41	2	1	1	1	3	3	3		0	0	0			-0.728511140582083
1986	323	41	1	1	1	0	3	2	2		0	1	0			-0.876353754094326
1987	323	41	0	0	0	0	5	3	3		0	0	0			-1.07583576589608
1988	323	41	1	1	1	0	4	3	3		0		0			-1.03904857467743
1989	323	41	2	1	1	0	3	3	3		0				0	-0.979894229584136
1990	323	41	2	0	0	0	4	4	4		0				0	-1.22193841531835
1991	323	41	2	0	0	1	4	5	3		0				1	-1.36951424637462
1992	323	41	0	0	0	0	4	4	4		0				0	-1.40920761107196
1993	323	41	0	0	0	0	4	4	4		0				1	-1.39475412152378
1994	323	41	0	0	0	0	5	4	5		0				1	-1.21572341493124
1995	323	41	2	2	2	0	2	3	2		0				0	-0.51064253644988
1996	323	41	2	1	1	1	3	3	4	2	0				0	-0.389301882483234
1997	323	41	2	1	2	0	2	3	4	4	0				0	-0.323014998095441
1998	323	41	2	1	0	0	3	3	4		0				0	-0.405407457560723
1999	323	41	1	1	0	0	3	3	4		0				0	-0.438760457626859
2000	323	41	2	2	1	0	4	3		4	0				0	-0.326461746764012
2001	323	41	2	1	1	0	3	3		4	0				0	-0.325461797688486
2002	323	41	1	1	1	0	3	3			0				0	-0.448392035737158
2003	323	41	1	1	0	0	3	3		4	0				0	-0.578459503811165
2004	323	41	1	0	1	0	5	4		4	0				0	-0.851757866926472
2005	323	41	1	1	0	0	4	4		1	0				1	-0.78122389673077
2006	323	41	2	1	0	1	4	3			0				0	-0.375855720904791
2007	323	41	2	1	1	1	4	3			0				0	-0.0515556195730979
2008	323	41	2	1	1	1	2	3			0				0	0.283833419239336
2009	323	41	2	1	1	1	3	2			0				0	0.462843119268566
2010	323	41	2	1	2	1	2	3			0				0	0.531052707904878
1949		42										0	0	0		0.56864108921243
1950		42										0	0	0		0.600634026304236
1951		42										0	0	0		0.627809963460993
1952		42										0	0	0		0.644583959517368
1953		42										0	0	0		0.661891186847572
1954		42										0	0	0		0.668236053185648
1955		42										0	0	0		0.667205269993232
1956		42									0	0	0	0		0.654596093174887
1957		42									0	0	0	0		0.647060369063898
1958		42									0	0	0	0		0.628272952096486
1959		42									0	0	0	0		0.608738977824738
1960		42									0	0	0	0		0.577501491242055
1961		42									0	0	0	0		0.542281070689673
1962		42									0	0	0	0		0.500153589304024
1963		42									0	0	0	0		0.452937618248131
1964		42									0	0	0	0		0.396435724163798
1965		42									0	0	0	1		0.329920108401191
1966		42									0	0	0	0		0.326013279343428
1967		42									0	0	0	0		0.314929320679449
1968		42									0	0	0	0		0.299391196996783
1969		42									0	0	0	0		0.271631484721385
1970		42									0	0	0	0		0.237412585124228
1971		42									0	0	0	0		0.190727147675006
1972		42									0	0	0	0		0.130654588720569
1973		42									0	0	0	0		0.0639706239672653
1974		42									0	0	0	0		-0.0147904191116762
1975		42									0	0	0	0		-0.112859571811751
1976		42					3	2			0	0	0	0		-0.221906952151286
1977		42					3	2			0	0	0	0		-0.227414082266363
1978		42					2	2			0	0	0	0		-0.141150427049745
1979		42					3	2			0	0	0	0		-0.155420174151281
1980		42					3	2			0	0	0	0		-0.0833215497137717
1981	254	42	2	2	1	2		2			0	0	0	0		0.0747563581855269
1982	254	42	2	1	2	1		2			0	0	0	0		0.147766676097012
1983	254	42	2	2	2	1		1			0	0	0			0.335744107831363
1984	254	42	2	2	1	1	3	2			0	0	0			0.267388388327858
1985	254	42	2	2	2	1		1	2		0	0	0			0.405840627586854
1986	254	42	2	1	2	1	3	2	2		0	0	0			0.224428758953515
1987	254	42	2	2	1	1	3	2	2		0	0	0			0.260851684567626
1988	254	42	2	2	2	2	3	2	2		0		0			0.361770103751654
1989	254	42	2	2	2	1	2	2	2		0				0	0.401099864257385
1990	254	42	2	1	1	1	2	2	2		0				0	0.299917783929124
1991	254	42	2	1	1	1	2	2	3		0				0	0.200268562397708
1992	254	42	2	1	1	0	2	2	4		0				0	0.137463282875253
1993	254	42	2	1	1	1	2	2	2		0				0	0.193587944162129
1994	254	42	1	1	0	0	2	2	2		0				0	0.0842692735713576
1995	254	42	2	1	0	1	2	2	2		0				0	0.0295164366115977
1996	254	42	2	0	1	1	3	3	4		0				0	-0.259527512357757
1997	254	42	2	0	1	1	3	3	3	1	0				0	-0.288912213705993
1998	254	42	2	0	0	0	3	3	3		0				0	-0.34107882762808
1999	254	42	2	0	2	0	3	3	3		0				0	-0.255897379881028
2000	254	42	2	0	2	0	2	3		6	0				0	-0.158721765088558
2001	254	42	2	0	2	0	3	3			0				0	-0.12553938264523
2002	254	42	2	0	2	1	2	3		1	0				0	0.0195041919784405
2003	254	42	2	0	2	0	3	3		1	0				0	-0.0337116556888868
2004	254	42	2	0	2	0	2	3		2	0				0	-0.0293837234167564
2005	254	42	2	0	2	0	3	3		1	0				0	-0.132397455753333
2006	254	42	2	0	1	0	3	3			0				0	-0.240787590437785
2007	254	42	2	0	2	0	3	3			0				0	-0.342934476681317
2008	254	42	2	0	2	0	4	4			0				0	-0.580980113148867
2009	254	42	2	0	2	0	4	4			0				0	-0.650270080781414
2010	254	42	2	0	2	0	3	4			0				0	-0.603684727567403
1962		51									0	0	0	0		0.42521531946414
1963		51									0	0	0	0		0.448943797787416
1964		51									0	0	0	0		0.455224924016258
1965		51									0	0	0	0		0.460331872367138
1966		51									0	0	0	0		0.457706750479379
1967		51									0	0	0	0		0.44603841622339
1968		51									0	0	0	0		0.431468077441562
1969		51									0	0	0	0		0.416095315859309
1970		51									0	0	0	0		0.390821221473809
1971		51									0	0	0	0		0.355216090759981
1972		51									0	0	0	0		0.317225948314785
1973		51									0	0	0	0		0.270950879098909
1974		51									0	0	0	0		0.214971448228857
1975		51									0	0	0	0		0.152386343481036
1976		51					2	2			0	0	0	0		0.0837200535543522
1977		51					2	2			0	0	0	0		0.0929148522527792
1978		51						2			0	0	0	0		0.136681034900935
1979		51						2			0	0	0	0		0.304012789613277
1980		51						1			0	0	0	0		0.561860199804553
1981	356	51	2	2	2	1		1			0	0	0	0		0.702743163278393
1982	356	51	2	2	2	2		1			0	0	0	0		0.787832867275541
1983	356	51	1	2	2	2		1			0	0	0			0.641582392812311
1984	356	51	2	1	2	1	2	2			0	0	0			0.407872380489896
1985	356	51	2	1	2	1	2	2	2		0	0	0			0.325945630884746
1986	356	51	2	2	2	1	2	2	3		0	0	0			0.303178749804844
1987	356	51	2	1	1	1	1	2	3		0	0	0			0.281184078892626
1988	356	51	2	2	2	1	3	2	3		0		0			0.222951606184651
1989	356	51	2	2	2	1	2	2	3		0				0	0.241178434953133
1990	356	51	2	1	2	1	2	2	4		0				0	0.129285278652918
1991	356	51	2	2	2	0	1	3	4		0				0	-0.0308143341487956
1992	356	51	2	1	2	0	3	3	4		0				0	-0.207552981513938
1993	356	51	2	1	1	0	2	3	4		0				0	-0.172509931565848
1994	356	51	2	1	2	0	1	3	3		0				0	-0.0322588838432386
1995	356	51	2	1	2	0	3	3	2		0				0	0.0451296524915539
1996	356	51	2	1	2	1	1	2	2		0				0	0.357087288488432
1997	356	51	2	1	2	1	2	2	2		0				0	0.38371023438772
1998	356	51	2	1	2	1	3	3	2		0				0	0.214374520012297
1999	356	51	2	1	2	1	3	3	3		0				0	0.14457907081124
2000	356	51	2	2	2	1	3	3		5	0				0	0.131442792645126
2001	356	51	2	1	2	1	4	3		5	0				0	-0.00691424333671376
2002	356	51	2	1	2	1	3	3		6	0				0	-0.044524340278775
2003	356	51	2	0	2	1	4	3		3	0				0	-0.118420129181573
2004	356	51	1	0	2	1	3	3		4	0				0	-0.118170332332487
2005	356	51	2	0	2	1	3	3		4	0				0	-0.036864760932065
2006	356	51	2	0	2	1	3	3			0				0	0.0110413386128882
2007	356	51	2	0	2	1	3	3			0				0	-0.0235592360333209
2008	356	51	2	0	2	1	4	3			0				0	-0.155312081383348
2009	356	51	2	0	2	1	4	3			0				0	-0.275670704425171
2010	356	51	2	0	1	1	4	4			0				0	-0.454150705125686
1962		52									0	0	0	0		0.836405761289169
1963		52									0	0	0	0		0.894945341433018
1964		52									0	0	0	0		0.946953404785447
1965		52									0	0	0	0		0.995259095298987
1966		52									0	0	0	0		1.03903885724208
1967		52									0	0	0	0		1.0795260229268
1968		52									0	0	0	0		1.11766544982077
1969		52									0	0	0	0		1.15226978128553
1970		52									0	0	0	0		1.18928376667129
1971		52									0	0	0	0		1.2226293637345
1972		52									0	0	0	0		1.25050907509751
1973		52									0	0	0	0		1.28009212507624
1974		52									0	0	0	0		1.30382250821509
1975		52									0	0	0	0		1.33056564845478
1976		52					1				0	0	0	0		1.34939868631575
1977		52					1				0	0	0	0		1.32717899723206
1978		52									0	0	0	0		1.21574230138353
1979		52						2			0	0	0	0		1.10170384820849
1980		52						1			0	0	0	0		1.24602078788691
1981	635	52	2	2	2	2		1			0	0	0	0		1.36636826425917
1982	635	52	2	2	2	1		1			0	0	0	0		1.4300060938663
1983	635	52	2	2	2	2		1			0	0	0			1.55618390243754
1984	635	52	2	2	2	2		1			0	0	0			1.63041122651632
1985	635	52	2	2	2	1	1	1			0	0	0			1.64763469069847
1986	635	52	2	2	2	2	1	1			0	0	0			1.6691771119551
1987	635	52	2	2	2	2	1	1			0	0	0			1.57540109258967
1988	635	52	2	2	2	1	2	1			0		0			1.28522760018344
1989	635	52	2	2	2	1	1	1			0				0	1.07832226758149
1990	635	52	2	1	1	1	2	2			0				0	0.624599417644184
1991	635	52	1	1	2	1	2	2			0				0	0.468436083301541
1992	635	52	2	1	2	1	1	2			0				0	0.569225789096233
1993	635	52	2	1	2	1	2	2			0				0	0.609397722064012
1994	635	52	2	2	1	0	1	2			0				0	0.766225065760419
1995	635	52	2	1	2	0	2	1		1	0				0	0.945659932213492
1996	635	52	2	2	2	1	1	2		1	0				0	1.16419871540448
1997	635	52	2	2	2	2	2	1			0				0	1.42138363946221
1998	635	52	2	2	2	2	2	1			0				0	1.54687647047893
1999	635	52	2	2	2	1	2	1			0				0	1.55447277951964
2000	635	52	2	2	2	2	2	1		3	0				0	1.55530701974031
2001	635	52	2	2	2	1	2	1		3	0				0	1.43562835240719
2002	635	52	2	2	2	1	2	2		3	0				0	1.21464065806075
2003	635	52	2	1	2	1	2	2		3	0				0	0.985008955253241
2004	635	52	2	1	2	1	3	2		3	0				0	0.76083321137105
2005	635	52	2	1	2	1	3	3		3	0				0	0.628012296845454
2006	635	52	2	1	2	1	3	2			0				0	0.761421989080014
2007	635	52	2	1	1	1	2	2			0				0	0.830661258666693
2008	635	52	2	1	2	1	3	2			0				0	0.789825684940764
2009	635	52	2	1	2	1	3	2			0				0	0.775905794355902
2010	635	52	2	1	2	1	3	2			0				0	0.769309791614729
1966		53									0	0	0	0		1.29065585980223
1967		53									0	0	0	0		1.38297258947064
1968		53									0	0	0	0		1.4681877741654
1969		53									0	0	0	0		1.55189172274493
1970		53									0	0	0	0		1.63216124690749
1971		53									0	0	0	0		1.71113940560205
1972		53									0	0	0	0		1.78499189568474
1973		53									0	0	0	0		1.8597320199481
1974		53									0	0	0	0		1.93169963681623
1975		53									0	0	0	0		2.00140951777387
1976		53									0	0	0	0		2.07309174635685
1977		53									0	0	0	0		2.14620395240496
1978		53						1			0	0	0	0		2.21566560291242
1979		53						1			0	0	0	0		2.2892623349324
1980		53						1			0	0	0	0		2.35839603436089
1981		53						1			0	0	0	0		2.42533517725341
1982		53					1	1			0	0	0	0		2.49338783836102
1983		53						1			0	0	0			2.5449580493488
1984		53					1	1			0	0	0			2.59655145161777
1985		53						1			0	0	0			2.6181929340841
1986		53					1	1			0	0	0			2.64815604281199
1987		53					1	1			0	0	0			2.65849991732322
1988		53						1			0		0			2.65665768403457
1989		53					1	1			0				0	2.6563007943124
1990		53						1			0				0	2.64066768297204
1991		53					1	1			0				0	2.62950765609312
1992		53					1	1			0				0	2.60925328060536
1993		53					1	1			0				0	2.58987350403407
1994		53					1	1			0				0	2.56207025362861
1995		53						1			0				0	2.52118761123114
1996		53						1			0				0	2.4770984798948
1997		53						1			0				0	2.42902427984358
1998		53						1			0				0	2.36938136604379
1999		53						1			0				0	2.30444443885614
2000		53						1			0				0	2.22987340715121
2001	143	53	2	2	2	1		1			0				0	2.14218431816888
2002		53						1			0				0	2.08168968363563
2003	143	53	2	2	2	1		1			0				0	1.92200155800283
2004	143	53	2	2	2	1		2			0				0	1.67294726438906
2005	143	53	2	2	2	1		2			0				0	1.5060288575754
2006	143	53	2	1	2	1		2			0				0	1.39023338535712
2007	143	53	2	2	2	1		2			0				0	1.42091783342976
2008	143	53	2	2	1	1		2			0				0	1.39826329359291
2009	143	53	2	2	2	1		2			0				0	1.43624423559541
2010	143	53	2	2	2	1		2			0				0	1.45879642689708
1978		54									0	0	0			0.75497396367132
1979		54									0	0	0			0.806686754806797
1980		54									0	0	0			0.844976174771926
1981		54									0	0	0			0.889191052157766
1982		54									0	0	0			0.924351689903473
1983		54									0	0	0			0.9634249457293
1984		54									0	0	0			1.00025102172843
1985		54									0	0	0			1.03671970595611
1986		54									0	0	0			1.07089145096099
1987		54									0	0	0			1.1071129598311
1988		54									0		0			1.1394989634025
1989		54									0				0	1.17288932157227
1990		54									0				0	1.20646095951214
1991		54									0				0	1.24121975098155
1992		54									0				0	1.27505227689894
1993		54									0				0	1.30810499262944
1994		54									0				0	1.33870401546369
1995		54									0				0	1.36842183709406
1996		54									0				0	1.39891233680315
1997		54									0				0	1.42954663940197
1998		54									0				0	1.46086311469076
1999		54									0				0	1.49048523564556
2000		54									0				0	1.51921940224649
2001	251	54	2	2	2	1					0				0	1.55644060027496
2002		54									0				0	1.58079709164889
2003	251	54	2	2	2	1					0				0	1.60467949576289
2004	251	54	2	2	2	1					0				0	1.59632736711192
2005	251	54	2	1	2	1					0				0	1.55035113025155
2006	251	54	2	2	2	1					0				0	1.63161811823783
2007	251	54	2	1	2	1					0				0	1.66916295195993
2008	251	54	2	2	2	1					0				0	1.83189472799706
2009	251	54	2	2	2	1					0				0	1.96935477757161
2010	251	54	2	2	2	2					0				0	2.101740662928
1974		55									0	0	0	0		0.1728493792367
1975		55									0	0	0	0		0.167823049264604
1976		55									0	0	0	0		0.156547038773103
1977		55					1				0	0	0	0		0.135167337305403
1978		55									0	0	0	0		-0.102567000414177
1979		55					2	3			0	0	0	0		-0.358976078851371
