YEAR	CIRI	COW	DISAP	KILL	POLPRIS	TORT	Amnesty	State	hathaway	ITT	genocide	rummel	massive_repression	executions	killing
1949		2										1	0	0	
1950		2										1	0	0	
1951		2										1	0	0	
1952		2										1	0	0	
1953		2										1	0	1	
1954		2										1	0	0	
1955		2										1	0	0	
1956		2									0	1	0	0	
1957		2									0	1	0	0	
1958		2									0	1	0	0	
1959		2									0	1	0	0	
1960		2									0	1	0	0	
1961		2									0	1	0	0	
1962		2									0	1	0	0	
1963		2									0	1	0	0	
1964		2									0	1	0	0	
1965		2									0	1	0	0	
1966		2									0	1	0	0	
1967		2									0	1	0	0	
1968		2									0	1	0	0	
1969		2									0	1	0	0	
1970		2									0	1	0	0	
1971		2									0	0	0	0	
1972		2									0	0	0	0	
1973		2									0	0	0	0	
1974		2									0	0	0	0	
1975		2									0	0	0	0	
1976		2					1				0	0	0	0	
1977		2					1				0	0	0	0	
1978		2					1				0	0	0	0	
1979		2					1				0	0	0	0	
1980		2					1				0	0	0	0	
1981	662	2	2	2	2	2	1				0	0	0	0	
1982	662	2	2	2	2	2	1				0	0	0	0	
1983	662	2	2	2	2	2	1				0	0	0		
1984	662	2	2	2	2	2	1				0	0	0		
1985	662	2	2	2	2	1	1				0	0	0		
1986	662	2	2	2	2	1	1				0	0	0		
1987	662	2	2	2	2	2	2				0	0	0		
1988	662	2	2	2	2	1	1				0		0		
1989	662	2	2	2	2	1	1				0				0
1990	662	2	2	2	2	2	1				0				0
1991	662	2	2	2	2	1	2				0				0
1992	662	2	2	2	2	1	2				0				0
1993	662	2	2	2	2	1	1				0				0
1994	662	2	2	2	2	1	1				0				0
1995	662	2	2	2	2	1	1			5	0				0
1996	662	2	2	2	2	1	1			5	0				0
1997	662	2	2	2	2	1	1			5	0				0
1998	662	2	2	2	2	1	1			6	0				0
1999	662	2	2	2	2	1	1			6	0				0
2000	662	2	2	2	2	1	1			6	0				0
2001	662	2	2	2	0	1	2			6	0				0
2002	662	2	2	2	1	1	2			6	0				0
2003	662	2	2	2	1	1	2			6	0				0
2004	662	2	1	1	1	1	3			6	0				0
2005	662	2	2	1	1	0	3			6	0				0
2006	662	2	2	1	1	0	3				0				0
2007	662	2	2	1	1	1	3				0				0
2008	662	2	2	1	2	1	3				0				0
2009	662	2	2	1	1	1	3				0				0
2010	662	2	2	1	2	1	3				0				0
1949		20										0	0	0	
1950		20										0	0	0	
1951		20										0	0	0	
1952		20										0	0	0	
1953		20										0	0	0	
1954		20										0	0	0	
1955		20										0	0	0	
1956		20									0	0	0	0	
1957		20									0	0	0	0	
1958		20									0	0	0	0	
1959		20									0	0	0	0	
1960		20									0	0	0	0	
1961		20									0	0	0	0	
1962		20									0	0	0	0	
1963		20									0	0	0	0	
1964		20									0	0	0	0	
1965		20									0	0	0	0	
1966		20									0	0	0	0	
1967		20									0	0	0	0	
1968		20									0	0	0	0	
1969		20									0	0	0	0	
1970		20									0	0	0	0	
1971		20									0	0	0	0	
1972		20									0	0	0	0	
1973		20									0	0	0	0	
1974		20									0	0	0	0	
1975		20									0	0	0	0	
1976		20					1	1			0	0	0	0	
1977		20						1			0	0	0	0	
1978		20						1			0	0	0	0	
1979		20						1			0	0	0	0	
1980		20						1			0	0	0	0	
1981	194	20	2	2	2	2		1			0	0	0	0	
1982	194	20	2	2	2	1		1			0	0	0	0	
1983	194	20	2	2	2	1	1	1			0	0	0		
1984	194	20	2	2	2	1	1	1			0	0	0		
1985	194	20	2	2	2	2		1	1		0	0	0		
1986	194	20	2	2	2	2	1	1	1		0	0	0		
1987	194	20	2	2	2	2	1	1	1		0	0	0		
1988	194	20	2	2	2	2		1	1		0		0		
1989	194	20	2	2	2	2		1	1		0				0
1990	194	20	2	2	2	2	1	1	1		0				0
1991	194	20	2	2	2	2	1	1	1		0				0
1992	194	20	2	2	2	1	1	1	2		0				0
1993	194	20	2	2	2	2	1	1	1		0				0
1994	194	20	2	2	2	1	1	1	2		0				0
1995	194	20	2	2	2	2		1	2	1	0				0
1996	194	20	2	2	2	2	1	1	1	1	0				0
1997	194	20	2	2	2	2		1	1	1	0				0
1998	194	20	2	2	2	1		1	1	1	0				0
1999	194	20	2	2	2	2		1	1	1	0				0
2000	194	20	2	2	2	1	1	1		2	0				0
2001	194	20	2	2	2	1	1	1		2	0				0
2002	194	20	2	2	2	1	1	2		1	0				0
2003	194	20	2	2	2	1	1	1		6	0				0
2004	194	20	2	2	2	1	1	1		3	0				0
2005	194	20	2	1	2	1	1	1		1	0				0
2006	194	20	2	1	2	1	1	1			0				0
2007	194	20	2	1	2	1	2	1			0				0
2008	194	20	2	1	2	1	2	1			0				0
2009	194	20	2	2	2	2	1	1			0				0
2010	194	20	2	1	2	1	1	1			0				0
1973		31									0	0	0	0	
1974		31									0	0	0	0	
1975		31									0	0	0	0	
1976		31						1			0	0	0	0	
1977		31						1			0	0	0	0	
1978		31						1			0	0	0	0	
1979		31						1			0	0	0	0	
1980		31						1			0	0	0	0	
1981		31						1			0	0	0	0	
1982		31						1			0	0	0	0	
1983		31						1			0	0	0		
1984		31						1			0	0	0		
1985		31						1			0	0	0		
1986		31					1	2			0	0	0		
1987		31						1			0	0	0		
1988		31						1			0		0		
1989		31					1	1			0				0
1990		31					1	1			0				0
1991		31					1	1			0				0
1992		31					1	1			0				0
1993		31					1	1			0				0
1994		31					1	2			0				0
1995		31					1	1			0				0
1996		31					1	1			0				0
1997		31					1	1			0				0
1998		31					1	1			0				0
1999		31					1	1			0				0
2000		31					1	1			0				0
2001	134	31	2	2	2	1	1	1			0				0
2002		31					2	2			0				0
2003	134	31	2	1	2	1	2	2			0				0
2004	134	31	2	1	2	1	1	2			0				0
2005	134	31	2	2	2	1	2	1			0				0
2006	134	31	2	1	2	1	2	1			0				0
2007	134	31	2	1	2	1	3	2			0				0
2008	134	31	2	1	2	1	2	2			0				0
2009	134	31	2	1	2	1	2	2			0				0
2010	134	31	2	1	2	1	1	2			0				0
1949		40										0	0	0	
1950		40										0	0	0	
1951		40										0	0	0	
1952		40										0	0	0	
1953		40										0	0	0	
1954		40										0	0	0	
1955		40										0	0	0	
1956		40									0	0	0	0	
1957		40									0	0	0	0	
1958		40									0	0	0	0	
1959		40									0	1	0	1	
1960		40									0	1	0	1	
1961		40									0	1	0	1	
1962		40									0	1	0	1	
1963		40									0	1	0	1	
1964		40									0	1	0	1	
1965		40									0	1	0	1	
1966		40									0	1	0	1	
1967		40									0	1	0	1	
1968		40									0	1	0	1	
1969		40									0	1	0	1	
1970		40									0	1	0	0	
1971		40									0	1	0	0	
1972		40									0	1	0	0	
1973		40									0	1	0	0	
1974		40									0	1	0	0	
1975		40									0	1	0	0	
1976		40					3				0	1	0	0	
1977		40					3	4			0	1	0	0	
1978		40					4				0	1	0	0	
1979		40					3	3			0	1	0	0	
1980		40					3	3			0	1	0	0	
1981	233	40	1	2	0	1	3	3			0	1	0	0	
1982	233	40	1	1	0	0	3	3			0	1	0	0	
1983	233	40	0	1	0	0	3	3			0	1	0		
1984	233	40	1	1	0	0	3	3			0	1	0		
1985	233	40	1	1	1	0	3	3	4		0	1	0		
1986	233	40	1	0	0	0	3	4	4		0	1	0		
1987	233	40	1	1	0	0	3	3	4		0	1	0		
1988	233	40	2	2	0	0	3	3	4		0		0		
1989	233	40	2	1	0	0	3	3	3		0				0
1990	233	40	2	1	0	0	3	3	3		0				0
1991	233	40	2	2	0	0	3	3	3		0				0
1992	233	40	2	1	0	0	3	3	4		0				0
1993	233	40	2	1	0	0	3	3	4		0				0
1994	233	40	2	1	0	0	3	3	3		0				0
1995	233	40	2	1	0	0	4	3	3	4	0				0
1996	233	40	2	1	0	0	3	3	3	4	0				0
1997	233	40	2	2	0	0	3	3	3	4	0				0
1998	233	40	2	1	0	0	3	3	2	6	0				0
1999	233	40	2	2	0	0	3	3	2	4	0				0
2000	233	40	2	1	0	1	3	3		3	0				0
2001	233	40	2	2	0	1	3	3		3	0				0
2002	233	40	2	2	0	0	2	3		3	0				0
2003	233	40	2	2	0	0	2	3		3	0				0
2004	233	40	2	2	0	0	2	3		3	0				0
2005	233	40	2	2	0	0	2	3		3	0				0
2006	233	40	2	2	0	0	3	3			0				0
2007	233	40	2	1	0	0	3	3			0				0
2008	233	40	2	2	0	0	3	3			0				0
2009	233	40	2	2	0	0	3	3			0				0
2010	233	40	2	2	0	0	3	3			0				0
1949		41										0	0	0	
1950		41										0	0	0	
1951		41										0	0	0	
1952		41										0	0	0	
1953		41										0	0	0	
1954		41										0	0	0	
1955		41										0	0	0	
1956		41									0	0	0	0	
1957		41									0	0	0	0	
1958		41									0	0	0	1	
1959		41									0	0	0	0	
1960		41									0	0	0	0	
1961		41									0	0	0	1	
1962		41									0	0	0	0	
1963		41									0	0	0	0	
1964		41									0	0	0	1	
1965		41									0	0	0	0	
1966		41									0	0	0	1	
1967		41									0	0	0	1	
1968		41									0	0	0	0	
1969		41									0	0	0	0	
1970		41									0	0	0	0	
1971		41									0	0	0	0	
1972		41									0	0	0	0	
1973		41									0	0	0	0	
1974		41									0	0	0	0	
1975		41									0	0	0	0	
1976		41					3	3			0	0	0	0	
1977		41					4	3			0	0	0	0	
1978		41					4	2			0	0	0	0	
1979		41					3	3			0	0	0	0	
1980		41					4	3			0	0	0	0	
1981	323	41	2	1	1	1	3	3			0	0	0	0	
1982	323	41	2	1	1	1	3	2			0	0	0	0	
1983	323	41	2	1	1	1	3	3			0	0	0		
1984	323	41	2	1	0	0	3	3			0	0	0		
1985	323	41	2	1	1	1	3	3	3		0	0	0		
1986	323	41	1	1	1	0	3	2	2		0	1	0		
1987	323	41	0	0	0	0	5	3	3		0	0	0		
1988	323	41	1	1	1	0	4	3	3		0		0		
1989	323	41	2	1	1	0	3	3	3		0				0
1990	323	41	2	0	0	0	4	4	4		0				0
1991	323	41	2	0	0	1	4	5	3		0				1
1992	323	41	0	0	0	0	4	4	4		0				0
1993	323	41	0	0	0	0	4	4	4		0				1
1994	323	41	0	0	0	0	5	4	5		0				1
1995	323	41	2	2	2	0	2	3	2		0				0
1996	323	41	2	1	1	1	3	3	4	2	0				0
1997	323	41	2	1	2	0	2	3	4	4	0				0
1998	323	41	2	1	0	0	3	3	4		0				0
1999	323	41	1	1	0	0	3	3	4		0				0
2000	323	41	2	2	1	0	4	3		4	0				0
2001	323	41	2	1	1	0	3	3		4	0				0
2002	323	41	1	1	1	0	3	3			0				0
2003	323	41	1	1	0	0	3	3		4	0				0
2004	323	41	1	0	1	0	5	4		4	0				0
2005	323	41	1	1	0	0	4	4		1	0				1
2006	323	41	2	1	0	1	4	3			0				0
2007	323	41	2	1	1	1	4	3			0				0
2008	323	41	2	1	1	1	2	3			0				0
2009	323	41	2	1	1	1	3	2			0				0
2010	323	41	2	1	2	1	2	3			0				0
1949		42										0	0	0	
1950		42										0	0	0	
1951		42										0	0	0	
1952		42										0	0	0	
1953		42										0	0	0	
1954		42										0	0	0	
1955		42										0	0	0	
1956		42									0	0	0	0	
1957		42									0	0	0	0	
1958		42									0	0	0	0	
1959		42									0	0	0	0	
1960		42									0	0	0	0	
1961		42									0	0	0	0	
1962		42									0	0	0	0	
1963		42									0	0	0	0	
1964		42									0	0	0	0	
1965		42									0	0	0	1	
1966		42									0	0	0	0	
1967		42									0	0	0	0	
1968		42									0	0	0	0	
1969		42									0	0	0	0	
1970		42									0	0	0	0	
1971		42									0	0	0	0	
1972		42									0	0	0	0	
1973		42									0	0	0	0	
1974		42									0	0	0	0	
1975		42									0	0	0	0	
1976		42					3	2			0	0	0	0	
1977		42					3	2			0	0	0	0	
1978		42					2	2			0	0	0	0	
1979		42					3	2			0	0	0	0	
1980		42					3	2			0	0	0	0	
1981	254	42	2	2	1	2		2			0	0	0	0	
1982	254	42	2	1	2	1		2			0	0	0	0	
1983	254	42	2	2	2	1		1			0	0	0		
1984	254	42	2	2	1	1	3	2			0	0	0		
1985	254	42	2	2	2	1		1	2		0	0	0		
1986	254	42	2	1	2	1	3	2	2		0	0	0		
1987	254	42	2	2	1	1	3	2	2		0	0	0		
1988	254	42	2	2	2	2	3	2	2		0		0		
1989	254	42	2	2	2	1	2	2	2		0				0
1990	254	42	2	1	1	1	2	2	2		0				0
1991	254	42	2	1	1	1	2	2	3		0				0
1992	254	42	2	1	1	0	2	2	4		0				0
1993	254	42	2	1	1	1	2	2	2		0				0
1994	254	42	1	1	0	0	2	2	2		0				0
1995	254	42	2	1	0	1	2	2	2		0				0
1996	254	42	2	0	1	1	3	3	4		0				0
1997	254	42	2	0	1	1	3	3	3	1	0				0
1998	254	42	2	0	0	0	3	3	3		0				0
1999	254	42	2	0	2	0	3	3	3		0				0
2000	254	42	2	0	2	0	2	3		6	0				0
2001	254	42	2	0	2	0	3	3			0				0
2002	254	42	2	0	2	1	2	3		1	0				0
2003	254	42	2	0	2	0	3	3		1	0				0
2004	254	42	2	0	2	0	2	3		2	0				0
2005	254	42	2	0	2	0	3	3		1	0				0
2006	254	42	2	0	1	0	3	3			0				0
2007	254	42	2	0	2	0	3	3			0				0
2008	254	42	2	0	2	0	4	4			0				0
2009	254	42	2	0	2	0	4	4			0				0
2010	254	42	2	0	2	0	3	4			0				0
1962		51									0	0	0	0	
1963		51									0	0	0	0	
1964		51									0	0	0	0	
1965		51									0	0	0	0	
1966		51									0	0	0	0	
1967		51									0	0	0	0	
1968		51									0	0	0	0	
1969		51									0	0	0	0	
1970		51									0	0	0	0	
1971		51									0	0	0	0	
1972		51									0	0	0	0	
1973		51									0	0	0	0	
1974		51									0	0	0	0	
1975		51									0	0	0	0	
1976		51					2	2			0	0	0	0	
1977		51					2	2			0	0	0	0	
1978		51						2			0	0	0	0	
1979		51						2			0	0	0	0	
1980		51						1			0	0	0	0	
1981	356	51	2	2	2	1		1			0	0	0	0	
1982	356	51	2	2	2	2		1			0	0	0	0	
1983	356	51	1	2	2	2		1			0	0	0		
1984	356	51	2	1	2	1	2	2			0	0	0		
1985	356	51	2	1	2	1	2	2	2		0	0	0		
1986	356	51	2	2	2	1	2	2	3		0	0	0		
1987	356	51	2	1	1	1	1	2	3		0	0	0		
1988	356	51	2	2	2	1	3	2	3		0		0		
1989	356	51	2	2	2	1	2	2	3		0				0
1990	356	51	2	1	2	1	2	2	4		0				0
1991	356	51	2	2	2	0	1	3	4		0				0
1992	356	51	2	1	2	0	3	3	4		0				0
1993	356	51	2	1	1	0	2	3	4		0				0
1994	356	51	2	1	2	0	1	3	3		0				0
1995	356	51	2	1	2	0	3	3	2		0				0
1996	356	51	2	1	2	1	1	2	2		0				0
1997	356	51	2	1	2	1	2	2	2		0				0
1998	356	51	2	1	2	1	3	3	2		0				0
1999	356	51	2	1	2	1	3	3	3		0				0
2000	356	51	2	2	2	1	3	3		5	0				0
2001	356	51	2	1	2	1	4	3		5	0				0
2002	356	51	2	1	2	1	3	3		6	0				0
2003	356	51	2	0	2	1	4	3		3	0				0
2004	356	51	1	0	2	1	3	3		4	0				0
2005	356	51	2	0	2	1	3	3		4	0				0
2006	356	51	2	0	2	1	3	3			0				0
2007	356	51	2	0	2	1	3	3			0				0
2008	356	51	2	0	2	1	4	3			0				0
2009	356	51	2	0	2	1	4	3			0				0
2010	356	51	2	0	1	1	4	4			0				0
1962		52									0	0	0	0	
1963		52									0	0	0	0	
1964		52									0	0	0	0	
1965		52									0	0	0	0	
1966		52									0	0	0	0	
1967		52									0	0	0	0	
1968		52									0	0	0	0	
1969		52									0	0	0	0	
1970		52									0	0	0	0	
1971		52									0	0	0	0	
1972		52									0	0	0	0	
1973		52									0	0	0	0	
1974		52									0	0	0	0	
1975		52									0	0	0	0	
1976		52					1				0	0	0	0	
1977		52					1				0	0	0	0	
1978		52									0	0	0	0	
1979		52						2			0	0	0	0	
1980		52						1			0	0	0	0	
1981	635	52	2	2	2	2		1			0	0	0	0	
1982	635	52	2	2	2	1		1			0	0	0	0	
1983	635	52	2	2	2	2		1			0	0	0		
1984	635	52	2	2	2	2		1			0	0	0		
1985	635	52	2	2	2	1	1	1			0	0	0		
1986	635	52	2	2	2	2	1	1			0	0	0		
1987	635	52	2	2	2	2	1	1			0	0	0		
1988	635	52	2	2	2	1	2	1			0		0		
1989	635	52	2	2	2	1	1	1			0				0
1990	635	52	2	1	1	1	2	2			0				0
1991	635	52	1	1	2	1	2	2			0				0
1992	635	52	2	1	2	1	1	2			0				0
1993	635	52	2	1	2	1	2	2			0				0
1994	635	52	2	2	1	0	1	2			0				0
1995	635	52	2	1	2	0	2	1		1	0				0
1996	635	52	2	2	2	1	1	2		1	0				0
1997	635	52	2	2	2	2	2	1			0				0
1998	635	52	2	2	2	2	2	1			0				0
1999	635	52	2	2	2	1	2	1			0				0
2000	635	52	2	2	2	2	2	1		3	0				0
2001	635	52	2	2	2	1	2	1		3	0				0
2002	635	52	2	2	2	1	2	2		3	0				0
2003	635	52	2	1	2	1	2	2		3	0				0
2004	635	52	2	1	2	1	3	2		3	0				0
2005	635	52	2	1	2	1	3	3		3	0				0
2006	635	52	2	1	2	1	3	2			0				0
2007	635	52	2	1	1	1	2	2			0				0
2008	635	52	2	1	2	1	3	2			0				0
2009	635	52	2	1	2	1	3	2			0				0
2010	635	52	2	1	2	1	3	2			0				0
1966		53									0	0	0	0	
1967		53									0	0	0	0	
1968		53									0	0	0	0	
1969		53									0	0	0	0	
1970		53									0	0	0	0	
1971		53									0	0	0	0	
1972		53									0	0	0	0	
1973		53									0	0	0	0	
1974		53									0	0	0	0	
1975		53									0	0	0	0	
1976		53									0	0	0	0	
1977		53									0	0	0	0	
1978		53						1			0	0	0	0	
1979		53						1			0	0	0	0	
1980		53						1			0	0	0	0	
1981		53						1			0	0	0	0	
1982		53					1	1			0	0	0	0	
1983		53						1			0	0	0		
1984		53					1	1			0	0	0		
1985		53						1			0	0	0		
1986		53					1	1			0	0	0		
1987		53					1	1			0	0	0		
1988		53						1			0		0		
1989		53					1	1			0				0
1990		53						1			0				0
1991		53					1	1			0				0
1992		53					1	1			0				0
1993		53					1	1			0				0
1994		53					1	1			0				0
1995		53						1			0				0
1996		53						1			0				0
1997		53						1			0				0
1998		53						1			0				0
1999		53						1			0				0
2000		53						1			0				0
2001	143	53	2	2	2	1		1			0				0
2002		53						1			0				0
2003	143	53	2	2	2	1		1			0				0
2004	143	53	2	2	2	1		2			0				0
2005	143	53	2	2	2	1		2			0				0
2006	143	53	2	1	2	1		2			0				0
2007	143	53	2	2	2	1		2			0				0
2008	143	53	2	2	1	1		2			0				0
2009	143	53	2	2	2	1		2			0				0
2010	143	53	2	2	2	1		2			0				0
1978		54									0	0	0		
1979		54									0	0	0		
1980		54									0	0	0		
1981		54									0	0	0		
1982		54									0	0	0		
1983		54									0	0	0		
1984		54									0	0	0		
1985		54									0	0	0		
1986		54									0	0	0		
1987		54									0	0	0		
1988		54									0		0		
1989		54									0				0
1990		54									0				0
1991		54									0				0
1992		54									0				0
1993		54									0				0
1994		54									0				0
1995		54									0				0
1996		54									0				0
1997		54									0				0
1998		54									0				0
1999		54									0				0
2000		54									0				0
2001	251	54	2	2	2	1					0				0
2002		54									0				0
2003	251	54	2	2	2	1					0				0
2004	251	54	2	2	2	1					0				0
2005	251	54	2	1	2	1					0				0
2006	251	54	2	2	2	1					0				0
2007	251	54	2	1	2	1					0				0
2008	251	54	2	2	2	1					0				0
2009	251	54	2	2	2	1					0				0
2010	251	54	2	2	2	2					0				0
1974		55									0	0	0	0	
1975		55									0	0	0	0	
1976		55									0	0	0	0	
1977		55					1				0	0	0	0	
1978		55									0	0	0	0	
1979		55					2	3			0	0	0	0	
1980		55					3	3			0	0	0	0	
1981		55					3	3			0	0	0	0	
1982		55					2	3			0	0	0	0	
1983		55					4	4			0	1	0		
1984		55					2	1			0	0	0		
1985		55					1	1			0	0	0		
1986		55					1	1			0	0	0		
1987		55					1	1			0	0	0		
1988		55					1	1			0		0		
1989		55					1	1			0				0
1990		55					1	1			0				0
1991		55					1	1			0				0
1992		55					1	1			0				0
1993		55						1			0				0
1994		55						1			0				0
1995		55					1	1			0				0
1996		55						1			0				0
1997		55						1			0				0
1998		55						1			0				0
1999		55						1			0				0
2000		55						1			0				0
2001	308	55	2	2	2	2		1			0				0
2002		55						1			0				0
2003	308	55	2	2	2	2		1			0				0
2004	308	55	2	2	1	2		1			0				0
2005	308	55	2	2	1	1		1			0				0
2006	308	55	2	2	1	1	1	1			0				0
2007	308	55	2	2	2	1		1			0				0
2008	308	55	2	2	2	1		1			0				0
2009	308	55	2	2	2	1		1			0				0
2010	308	55	2	2	2	1					0				0
1979		56						1			0	0	0		
1980		56						1			0	0	0		
1981		56						1			0	0	0		
1982		56						1			0	0	0		
1983		56						1			0	0	0		
1984		56						1			0	0	0		
1985		56						1			0	0	0		
1986		56						1			0	0	0		
1987		56						1			0	0	0		
1988		56						1			0		0		
1989		56						1			0				0
1990		56						1			0				0
1991		56						1			0				0
1992		56						1			0				0
1993		56						1			0				0
1994		56						1			0				0
1995		56					1	1			0				0
1996		56						1			0				0
1997		56						1			0				0
1998		56						2			0				0
1999		56						2			0				0
2000		56						1			0				0
2001	539	56	2	1	2	1	1	1			0				0
2002		56					2	2			0				0
2003	539	56	2	2	2	2		1			0				0
2004	539	56	2	2	2	1		2			0				0
2005	539	56	2	2	2	0		2			0				0
2006	539	56	2	1	2	0		2			0				0
2007	539	56	2	1	2	0		2			0				0
2008	539	56	2	1	2	0		2			0				0
2009	539	56	2	1	2	0		2			0				0
2010	539	56	2	2	2	0		2			0				0
1979		57									0	0	0		
1980		57						1			0	0	0		
1981		57						1			0	0	0		
1982		57						1			0	0	0		
1983		57						1			0	0	0		
1984		57						1			0	0	0		
1985		57						1			0	0	0		
1986		57						1			0	0	0		
1987		57					1	1			0	0	0		
1988		57					1	1			0		0		
1989		57						1			0				0
1990		57					1	1			0				0
1991		57					1	1			0				0
1992		57					1	1			0				0
1993		57					1	1			0				0
1994		57						2			0				0
1995		57					1	1			0				0
1996		57						1			0				0
1997		57						1			0				0
1998		57						1			0				0
1999		57						1			0				0
2000		57						1			0				0
2001	542	57	2	1	2	1		1			0				0
2002		57						2			0				0
2003	542	57	2	2	2	1		1			0				0
2004	542	57	2	1	2	0		1			0				0
2005	542	57	2	2	1	0		1			0				0
2006	542	57	2	2	2	1		2			0				0
2007	542	57	2	2	2	1		2			0				0
2008	542	57	2	2	2	1		2			0				0
2009	542	57	2	1	2	0		1			0				0
2010	542	57	2	2	2	0		2			0				0
1981		58									0	0	0		
1982		58									0	0	0		
1983		58									0	0	0		
1984		58									0	0	0		
1985		58									0	0	0		
1986		58									0	0	0		
1987		58									0	0	0		
1988		58									0		0		
1989		58									0				0
1990		58									0				0
1991		58									0				0
1992		58									0				0
1993		58									0				0
1994		58									0				0
1995		58									0				0
1996		58									0				0
1997		58									0				0
1998		58									0				0
1999		58									0				0
2000		58									0				0
2001	116	58	2	2	2	1					0				0
2002		58									0				0
2003	116	58	2	2	2	1					0				0
2004	116	58	2	2	2	1					0				0
2005	116	58	2	2	2	1					0				0
2006	116	58	2	2	2	1					0				0
2007	116	58	2	2	2	1					0				0
2008	116	58	2	2	2	1					0				0
2009	116	58	2	2	2	1					0				0
2010	116	58	2	2	2	1					0				0
1983		60									0	0	0		
1984		60									0	0	0		
1985		60									0	0	0		
1986		60									0	0	0		
1987		60									0	0	0		
1988		60									0		0		
1989		60									0				0
1990		60									0				0
1991		60									0				0
1992		60									0				0
1993		60									0				0
1994		60									0				0
1995		60									0				0
1996		60									0				0
1997		60									0				0
1998		60									0				0
1999		60									0				0
2000		60									0				0
2001	536	60	2	2	2	1					0				0
2002		60									0				0
2003	536	60	2	2	2	2					0				0
2004	536	60	2	2	2	2					0				0
2005	536	60	2	2	2	2					0				0
2006	536	60	2	2	2	2					0				0
2007	536	60	2	1	2	2					0				0
2008	536	60	2	2	2	2					0				0
2009	536	60	2	2	2	2					0				0
2010	536	60	2	2	2	2					0				0
1949		70										0	0	0	
1950		70										0	0	0	
1951		70										0	0	0	
1952		70										0	0	0	
1953		70										0	0	0	
1954		70										0	0	0	
1955		70										0	0	0	
1956		70									0	0	0	0	
1957		70									0	0	0	0	
1958		70									0	0	0	0	
1959		70									0	0	0	0	
1960		70									0	0	0	0	
1961		70									0	0	0	0	
1962		70									0	0	0	0	
1963		70									0	0	0	0	
1964		70									0	0	0	0	
1965		70									0	0	0	0	
1966		70									0	0	0	0	
1967		70									0	0	0	0	
1968		70									0	1	0	0	
1969		70									0	0	0	0	
1970		70									0	0	0	0	
1971		70									0	0	0	0	
1972		70									0	0	0	0	
1973		70									0	0	0	0	
1974		70									0	0	0	0	
1975		70									0	0	0	0	
1976		70					3	2			0	0	0	0	
1977		70					3	3			0	0	0	0	
1978		70					3	3			0	0	0	0	
1979		70					3	3			0	0	0	0	
1980		70					3	3			0	0	0	0	
1981	443	70	0	0	0	1	3	3			0	0	0	0	
1982	443	70	1	1	1	1	3	3			0	0	0	0	
1983	443	70	1	1	0	1	3	2			0	0	0		
1984	443	70	1	0	0	0	3	3			0	0	0		
1985	443	70	1	0	0	0	3	3	3		0	0	0		
1986	443	70	1	1	1	0	3	3	3		0	0	0		
1987	443	70	1	0	0	0	3	3	3		0	0	0		
1988	443	70	1	0	1	1	3	3	3		0		0		
1989	443	70	0	1	0	0	3	3	3		0				0
1990	443	70	0	0	0	0	4	3	3		0				0
1991	443	70	0	1	0	0	3	3	5		0				0
1992	443	70	2	1	0	0	3	3	5		0				0
1993	443	70	2	0	1	0	3	4	4		0				0
1994	443	70	1	0	0	0	4	4	3		0				0
1995	443	70	1	0	1	0	4	4	3	6	0				0
1996	443	70	0	0	1	0	4	3	5	6	0				0
1997	443	70	1	0	1	0	4	3	5	6	0				0
1998	443	70	1	1	1	0	3	3	5	6	0				0
1999	443	70	1	1	1	0	3	3	5	5	0				0
2000	443	70	1	0	1	0	3	3		5	0				0
2001	443	70	1	0	1	0	3	3		5	0				0
2002	443	70	1	0	1	0	3	3		5	0				0
2003	443	70	1	1	1	0	3	3		6	0				0
2004	443	70	1	1	1	0	3	3		6	0				0
2005	443	70	1	1	1	0	3	3		5	0				0
2006	443	70	1	0	0	0	4	3			0				0
2007	443	70	1	1	0	0	3	3			0				0
2008	443	70	1	0	1	0	4	3			0				0
2009	443	70	1	1	1	0	4	4			0				0
2010	443	70	1	1	1	0	4	4			0				0
1981	152	80	2	2	2	2					0	0	0		
1982	152	80	2	2	2	2					0	0	0		
1983	152	80	2	2	2	2					0	0	0		
1984	152	80	2	2	2	1					0	0	0		
1985	152	80	2	2	2	2					0	0	0		
1986	152	80	2	2	2	2					0	0	0		
1987	152	80	2	2	2	1					0	0	0		
1988	152	80	2	2	2	2		1			0		0		
1989	152	80	2	2	2	2		1			0				0
1990	152	80	2	2	2	1		1			0				0
1991	152	80	2	2	2	2	1	1			0				0
1992	152	80	2	2	2	2	1	1			0				0
1993	152	80	2	1	2	1	1	1			0				0
1994	152	80	2	2	2	1	1	1			0				0
1995	152	80	2	2	2	1	1	1			0				0
1996	152	80	2	2	2	1	1	1			0				0
1997	152	80	2	2	2	1	1	1			0				0
1998	152	80	2	2	2	1	1	1			0				0
1999	152	80	2	2	2	1	1	1			0				0
2000	152	80	2	1	2	0	1	1			0				0
2001	152	80	2	2	2	1	1	1			0				0
2002	152	80	2	1	2	1	2	3			0				0
2003	152	80	2	1	2	1	2	2			0				0
2004	152	80	2	1	2	0		2			0				0
2005	152	80	2	1	2	0	2	3			0				0
2006	152	80	2	2	2	0		2			0				0
2007	152	80	2	2	2	1	2	2			0				0
2008	152	80	2	1	2	1		2			0				0
2009	152	80	2	1	2	1		3			0				0
2010	152	80	2	1	2	1		2			0				0
1949		90										0	0	0	
1950		90										0	0	0	
1951		90										0	0	0	
1952		90										0	0	0	
1953		90										0	0	0	
