parameter.mean	parameter.median	parameter.sd	parameter.lower.ci	parameter.upper.ci
-11.0411590026146	-11.0143298835479	0.848109313551101	-12.7547622063417	-9.43995494738423
-5.75507947886906	-5.74578593766402	0.635169205242431	-7.03301338049256	-4.559863627758
-11.6962548415992	-11.6697097714586	0.898067426548574	-13.5147191957908	-10.0081836058682
-2.50884501685274	-2.50686215094585	0.0984836990216332	-2.70901163353724	-2.32076237140859
-4.68629754582252	-4.66662886359461	0.3919374332986	-5.50458362986811	-3.96974876817016
-0.896650982352862	-0.837892331488391	2.26145441902971	-5.53495113980447	3.38178460767103
-0.838399015343399	-0.772294301973655	2.26412842228433	-5.54673127685557	3.43300982337996
-0.848634969537946	-0.779820763620148	2.26397185454049	-5.49250894984256	3.40484503025128
-0.804273491247797	-0.723226891039615	2.25257926676214	-5.46341802505228	3.40997488167696
0.671912757153302	0.604822276234508	2.24688747902147	-3.51252884895325	5.31914430196529
0.736642341088637	0.675964208826343	2.26440674704076	-3.58005953457872	5.40952155877668
0.72467104099637	0.644717610477975	2.24844188607478	-3.49440044279351	5.32631209492394
0.76538482638271	0.68340342803309	2.23842731993935	-3.4398914720105	5.40901761289536
-1.66739526068836	-1.62635294670133	2.2528429277507	-6.1602571911226	2.63925489730962
-1.59253114702736	-1.54860277950268	2.2670252455546	-6.20110111251986	2.7079426596562
-1.54922760056216	-1.47290135195773	2.27323439850319	-6.18697978954758	2.77422771828499
-1.51778555775267	-1.44879213976246	2.26199685158948	-6.149034903872	2.74773795085664
1.43074039403067	1.37130267370685	2.27009994849504	-2.8438907237481	6.08555052973601
1.49686128427304	1.43132799160905	2.28500964416536	-2.83814765638125	6.1390556291806
1.55245119334038	1.48756747507446	2.27762799729618	-2.72612209696598	6.2351193446408
1.5552573420015	1.50500297669259	2.25230097205372	-2.75955052809408	6.15625093563754
-2.04890359296346	-1.99178786544082	2.71870632377329	-7.538833485702	3.13896280589336
-1.93823907139856	-1.87235682304183	2.72584569219058	-7.42905238859818	3.26299329603181
-1.89515893920667	-1.84404654540195	2.73444364831931	-7.39940033254153	3.30768855302581
-1.82010616468497	-1.71229721264768	2.73006911988204	-7.3475820030635	3.32941159587596
1.69483193441758	1.64596137831603	2.74291292239212	-3.44269657403209	7.24462671128292
1.79798813409591	1.72154558252225	2.75666295187625	-3.40156086167418	7.40315388852405
1.84767872691153	1.77647856025235	2.73012807106857	-3.32687931154453	7.33226306788871
1.8794857298916	1.82832477840801	2.72734553523174	-3.30862946568714	7.36383951989819
-2.37139404632425	-2.31362943056243	3.0848174669641	-8.60134956876236	3.51552975793197
-2.22966109020892	-2.16724937258782	3.1211011640493	-8.57245958411458	3.73988749608222
-2.18184247788827	-2.11088595901938	3.09236210330105	-8.3612900793486	3.67381328533359
-2.05491263853755	-1.97320706786087	3.09572324701126	-8.31214892308944	3.71525914785425
1.88568874540658	1.78923855699277	3.11591966521423	-4.03322087716276	8.21310442661249
2.02334339377166	1.94114406327858	3.14513150328058	-3.80829759671651	8.50624422163203
2.08580073950137	2.00145005955215	3.09393152425671	-3.80795273422327	8.41313193413268
2.13447727318724	2.08139756332603	3.09985534350082	-3.71362825333353	8.41107450421028
