"YEAR","CIRI","COW","genocide","rummel","massive_repression","executions","killing","genocide","rummel","massive_repression","executions","killing","V6"
1949,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.45014950073835
1950,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.5337858869789
1951,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.58468284865807
1952,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.61676012896854
1953,NA,2,NA,1,0,1,NA,NA,1,0,1,NA,-1.65346370676394
1954,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.62898933339505
1955,NA,2,NA,1,0,0,NA,NA,1,0,0,NA,-1.61406420206345
1956,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.59553022248515
1957,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.58456176923989
1958,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57954920892513
1959,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57567966010165
1960,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57488376863728
1961,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.57432987324438
1962,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.571637271917
1963,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.5704830780141
1964,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.56624102481271
1965,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.55935822592264
1966,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.54631751944145
1967,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.51868382551394
1968,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.46921885569009
1969,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.36868604288033
1970,NA,2,0,1,0,0,NA,0,1,0,0,NA,-1.16643096853985
1971,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.746381898455918
1972,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.469250035961805
1973,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.257065041875564
1974,NA,2,0,0,0,0,NA,0,0,0,0,NA,-0.0895046801855016
1975,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.0541824159139489
1976,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.180429241970462
1977,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.292390683318357
1978,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.390323016898667
1979,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.478712410826565
1980,NA,2,0,0,0,0,NA,0,0,0,0,NA,0.551866079370932
1981,662,2,0,0,0,0,NA,0,0,0,0,NA,0.619667923498172
1982,662,2,0,0,0,0,NA,0,0,0,0,NA,0.677851453477752
1983,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.726186279424918
1984,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.767303417155406
1985,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.806686840680106
1986,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.845496719177418
1987,662,2,0,0,0,NA,NA,0,0,0,NA,NA,0.879290460955728
1988,662,2,0,NA,0,NA,NA,0,NA,0,NA,NA,0.910881275435989
1989,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0.940602010324347
1990,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,0.968866589836087
1991,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.00084601417649
1992,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.02789875996895
1993,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.05514367359771
1994,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.0775083601356
1995,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.09969329272593
1996,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.12357508236829
1997,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.14111056072381
1998,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.16349236156202
1999,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.17902884384858
2000,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.19606364901135
2001,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.21503486215322
2002,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.22902906673639
2003,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.24567168228841
2004,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.2619437715009
2005,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.27370091969392
2006,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.28585109054036
2007,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.29449429766328
2008,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.30407738939218
2009,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.30962493738103
2010,662,2,0,NA,NA,NA,0,0,NA,NA,NA,0,1.31550163056479
1949,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,0.96575356499057
1950,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.05794572598694
1951,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.14690905497883
1952,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.23355024732947
1953,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.31286578319259
1954,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.39019595434735
1955,NA,20,NA,0,0,0,NA,NA,0,0,0,NA,1.46198750132162
1956,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.52829508393131
1957,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.59127988288476
1958,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.65171665395963
1959,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.70956532494109
1960,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.75966750391458
1961,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.81403711961773
1962,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.86370996879708
1963,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.91078455293846
1964,NA,20,0,0,0,0,NA,0,0,0,0,NA,1.95903586958118
1965,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.00478737241246
1966,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.04910017633947
1967,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.08788640645525
1968,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.12511695828676
1969,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.15939602915827
1970,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.19476649673932
1971,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.22343627628369
1972,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.2503773633012
1973,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.27310939659238
1974,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.29704747349285
1975,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.32128264839499
1976,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.34039155711191
1977,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.36060307869394
1978,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.37798756068876
1979,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.39259405618124
1980,NA,20,0,0,0,0,NA,0,0,0,0,NA,2.40649821527505
1981,194,20,0,0,0,0,NA,0,0,0,0,NA,2.4204973081791
1982,194,20,0,0,0,0,NA,0,0,0,0,NA,2.43155305006777
1983,194,20,0,0,0,NA,NA,0,0,0,NA,NA,2.44010647256665
1984,194,20,0,0,0,NA,NA,0,0,0,NA,NA,2.4487940624334
1985,194,20,0,0,0,NA,NA,0,0,0,NA,NA,2.45971539211269
1986,194,20,0,0,0,NA,NA,0,0,0,NA,NA,2.4724114532685
1987,194,20,0,0,0,NA,NA,0,0,0,NA,NA,2.47951702649777
1988,194,20,0,NA,0,NA,NA,0,NA,0,NA,NA,2.48720807743732
1989,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.49594614233161
1990,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.50324610671333
1991,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.50976048739893
1992,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.51431856730713
1993,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.51982916425697
1994,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.53235489508753
1995,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.53542614030532
1996,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.54263110666926
1997,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.54718790541068
1998,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.55242705744738
1999,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.56042999821363
2000,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.57106943312151
2001,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.57853786116071
2002,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.58797341158984
2003,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.59625655118972
2004,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.60315907745694
2005,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.60929104419965
2006,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.6150127071936
2007,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.62017262861679
2008,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.62690643376226
2009,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.63043272009834
2010,194,20,0,NA,NA,NA,0,0,NA,NA,NA,0,2.63552878672707
1973,NA,31,0,0,0,0,NA,0,0,0,0,NA,0.832496988392342
1974,NA,31,0,0,0,0,NA,0,0,0,0,NA,0.911968829558751
1975,NA,31,0,0,0,0,NA,0,0,0,0,NA,0.988687570990533
1976,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.05813494786402
1977,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.12272032376736
1978,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.18110140592289
1979,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.23548385407601
1980,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.28907081668869
1981,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.33421440870676
1982,NA,31,0,0,0,0,NA,0,0,0,0,NA,1.37014445012063
1983,NA,31,0,0,0,NA,NA,0,0,0,NA,NA,1.41079399008278
1984,NA,31,0,0,0,NA,NA,0,0,0,NA,NA,1.45015810454711
1985,NA,31,0,0,0,NA,NA,0,0,0,NA,NA,1.4850554566998
1986,NA,31,0,0,0,NA,NA,0,0,0,NA,NA,1.52009916802767
1987,NA,31,0,0,0,NA,NA,0,0,0,NA,NA,1.55572295020213
1988,NA,31,0,NA,0,NA,NA,0,NA,0,NA,NA,1.58806070981758
1989,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.61864889909901
1990,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.6469413445902
1991,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.67534312798537
1992,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.70052153685407
1993,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.72491822089764
1994,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.74806384809331
1995,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.76789760054638
1996,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.7888646312006
1997,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.80436823216128
1998,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.82156159624442
1999,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.83564764969953
2000,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.84629634752322
2001,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.85682711300879
2002,NA,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.87118142063557
2003,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.88291244408154
2004,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.89308637223401
2005,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.90252724596758
2006,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.90951900388685
2007,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.91708936950949
2008,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.92473347528494
2009,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.92999148046234
2010,134,31,0,NA,NA,NA,0,0,NA,NA,NA,0,1.93371406602607
1949,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,0.124180719704068
1950,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,0.115036781075415
1951,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,0.0871468295662575
1952,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,0.0446382681353874
1953,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,-0.0162392999085985
1954,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,-0.099838670723514
1955,NA,40,NA,0,0,0,NA,NA,0,0,0,NA,-0.211711649753424
1956,NA,40,0,0,0,0,NA,0,0,0,0,NA,-0.358955076682993
1957,NA,40,0,0,0,0,NA,0,0,0,0,NA,-0.552601895464326
1958,NA,40,0,0,0,0,NA,0,0,0,0,NA,-0.828504721939471
1959,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.28032078002569
1960,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.5036741822927
1961,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.61733330198338
1962,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.67518550513974
1963,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.70736280958358
1964,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.71976793660822
1965,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.72671308570636
1966,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.72726574191477
1967,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.7217070222402
1968,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.70906157638118
1969,NA,40,0,1,0,1,NA,0,1,0,1,NA,-1.68167651245713
1970,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.62626518143712
1971,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.60062854248948
1972,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.58753900081627
1973,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.58071031090531
1974,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57669308915044
1975,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57477024190931
1976,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57254966581877
1977,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57202174086273
1978,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57482591658843
1979,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57460391812344
1980,NA,40,0,1,0,0,NA,0,1,0,0,NA,-1.57457025643354
1981,233,40,0,1,0,0,NA,0,1,0,0,NA,-1.57642029562908
1982,233,40,0,1,0,0,NA,0,1,0,0,NA,-1.57798232831059
1983,233,40,0,1,0,NA,NA,0,1,0,NA,NA,-1.58405068693958
1984,233,40,0,1,0,NA,NA,0,1,0,NA,NA,-1.57795748680007
1985,233,40,0,1,0,NA,NA,0,1,0,NA,NA,-1.5480147869195
1986,233,40,0,1,0,NA,NA,0,1,0,NA,NA,-1.49253649460238
1987,233,40,0,1,0,NA,NA,0,1,0,NA,NA,-1.38139297320394
1988,233,40,0,NA,0,NA,NA,0,NA,0,NA,NA,-1.15519309108602
1989,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.948430623476766
1990,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.774119421414776
1991,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.628746225433447
1992,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.496696269700025
1993,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.380989431053634
1994,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.279323565615212
1995,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.183018275719741
1996,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.100675897869652
1997,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.0273622804211879
1998,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.0426256979552842
1999,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.10591727328965
2000,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.158130294238192
2001,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.207051944602235
2002,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.250944768963581
2003,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.287238856034863
2004,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.318484740103577
2005,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.348592480993747
2006,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.371567608646078
2007,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.392129995599403
2008,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.404386540860359
2009,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.417336686802409
2010,233,40,0,NA,NA,NA,0,0,NA,NA,NA,0,0.424935107718112
1949,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.358993064028797
1950,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.385311500302074
1951,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.39912453670786
1952,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.402521398980903
1953,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.392384922069708
1954,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.367784042781686
1955,NA,41,NA,0,0,0,NA,NA,0,0,0,NA,0.336963659321983
1956,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.289166345037175
1957,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.225158397032579
1958,NA,41,0,0,0,1,NA,0,0,0,1,NA,0.146396476568944
1959,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.133010697732994
1960,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.0976994592845223
1961,NA,41,0,0,0,1,NA,0,0,0,1,NA,0.0422290745164597
1962,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.0401530006640291
1963,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.0238443157503741
1964,NA,41,0,0,0,1,NA,0,0,0,1,NA,-0.0190518280617493
1965,NA,41,0,0,0,0,NA,0,0,0,0,NA,-0.0102521907351792
1966,NA,41,0,0,0,1,NA,0,0,0,1,NA,-0.0223827923089957
1967,NA,41,0,0,0,1,NA,0,0,0,1,NA,0.0164267398002412
1968,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.107060938926756
1969,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.180246802677788
1970,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.239512814614691
1971,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.284585317723481
1972,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.317787742119319
1973,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.332541421446562
1974,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.335677216708697
1975,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.328930224317796
1976,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.310782225222494
1977,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.277548597049696
1978,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.234294951626166
1979,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.175682969810617
1980,NA,41,0,0,0,0,NA,0,0,0,0,NA,0.105438503257535
1981,323,41,0,0,0,0,NA,0,0,0,0,NA,0.0153970461563456
1982,323,41,0,0,0,0,NA,0,0,0,0,NA,-0.0918328252040683
1983,323,41,0,0,0,NA,NA,0,0,0,NA,NA,-0.230737153337989
1984,323,41,0,0,0,NA,NA,0,0,0,NA,NA,-0.393441426224476
1985,323,41,0,0,0,NA,NA,0,0,0,NA,NA,-0.604416614158233
1986,323,41,0,1,0,NA,NA,0,1,0,NA,NA,-0.904639721745813
1987,323,41,0,0,0,NA,NA,0,0,0,NA,NA,-0.837787133075222
1988,323,41,0,NA,0,NA,NA,0,NA,0,NA,NA,-0.944155287862593
1989,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-1.05494243875706
1990,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-1.20953354633736
1991,323,41,0,NA,NA,NA,1,0,NA,NA,NA,1,-1.41258107933256
1992,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-1.43479329983412
1993,323,41,0,NA,NA,NA,1,0,NA,NA,NA,1,-1.53554898476981
1994,323,41,0,NA,NA,NA,1,0,NA,NA,NA,1,-1.48137761282476
1995,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-1.25460037088787
1996,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-1.08712853229757
1997,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.962319124937801
1998,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.871458193840906
1999,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.810238905383687
2000,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.773841865685082
2001,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.762262043882194
2002,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.77326784515593
2003,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.806897939769359
2004,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.869164949963994
2005,323,41,0,NA,NA,NA,1,0,NA,NA,NA,1,-0.963186558841714
2006,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.839511661664392
2007,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.744415040204634
2008,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.673074729274637
2009,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.624605562854027
2010,323,41,0,NA,NA,NA,0,0,NA,NA,NA,0,-0.601010088607763
1949,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,0.740931661269565
1950,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,0.812124817132869
1951,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,0.87757943259958
1952,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,0.934510558690252
1953,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,0.986262402449724
1954,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,1.03136744008302
1955,NA,42,NA,0,0,0,NA,NA,0,0,0,NA,1.07338792820931
1956,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.11032445740317
1957,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.1402519368724
1958,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.16594906419612
1959,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.18843008889557
1960,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.20516690981985
1961,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.22052632007965
1962,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.23166696209265
1963,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.23753629460896
1964,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.23651226345209
1965,NA,42,0,0,0,1,NA,0,0,0,1,NA,1.23163585208837
1966,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.29923277859078
1967,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.36897174327711
1968,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.43181499888732
1969,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.48999928493477
1970,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.54461344717836
1971,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.59873813334488
1972,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.65030418022942
1973,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.69346602861537
1974,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.73398021611263
1975,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.7716848625487
1976,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.80411443173908
1977,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.83989767255885
1978,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.87063321219371
1979,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.89535495932624
1980,NA,42,0,0,0,0,NA,0,0,0,0,NA,1.91829949062425
1981,254,42,0,0,0,0,NA,0,0,0,0,NA,1.9372500270343
1982,254,42,0,0,0,0,NA,0,0,0,0,NA,1.95337485351503
1983,254,42,0,0,0,NA,NA,0,0,0,NA,NA,1.96975219958985
1984,254,42,0,0,0,NA,NA,0,0,0,NA,NA,1.98132537009196
1985,254,42,0,0,0,NA,NA,0,0,0,NA,NA,1.994507742507
1986,254,42,0,0,0,NA,NA,0,0,0,NA,NA,2.00959908543635
1987,254,42,0,0,0,NA,NA,0,0,0,NA,NA,2.02067113457434
1988,254,42,0,NA,0,NA,NA,0,NA,0,NA,NA,2.03146884681436
1989,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.04598807918936
1990,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.06195668376633
1991,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.07521008742554
1992,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.08569468842453
1993,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.09692307621115
1994,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.10962629924076
1995,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.12150204957387
1996,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.1349140992345
1997,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.1462217279922
1998,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.15648881814508
1999,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.16833238218245
2000,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.18360029892533
2001,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.19422955021013
2002,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.20283255551457
2003,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.21530116885298
2004,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.22410580128257
2005,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.23103579279935
2006,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.23424593575223
2007,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.24100019300999
2008,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.24369225251777
2009,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.24219989190668
2010,254,42,0,NA,NA,NA,0,0,NA,NA,NA,0,2.24382126301193
1962,NA,51,0,0,0,0,NA,0,0,0,0,NA,0.913685540354027
1963,NA,51,0,0,0,0,NA,0,0,0,0,NA,1.00504765632309
