"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","V9"
1991,353,325,2,2,2,1,2,1,1,NA,2,2,2,1,2,1,1,NA,0.736656986933994
1992,353,325,2,2,2,1,2,1,2,NA,2,2,2,1,2,1,2,NA,0.594238181487774
1993,353,325,2,2,2,1,NA,2,2,NA,2,2,2,1,NA,2,2,NA,0.406409409117105
1994,353,325,2,2,2,0,2,2,3,NA,2,2,2,0,2,2,3,NA,0.264554288845011
1995,353,325,2,2,2,0,2,2,2,4,2,2,2,0,2,2,2,4,0.299579337191092
1996,353,325,2,2,2,1,1,2,2,4,2,2,2,1,1,2,2,4,0.479176648229728
1997,353,325,2,2,2,1,NA,1,2,4,2,2,2,1,NA,1,2,4,0.696394158584012
1998,353,325,2,2,2,2,2,1,2,NA,2,2,2,2,2,1,2,NA,0.744899632997376
1999,353,325,2,1,1,1,2,1,3,4,2,1,1,1,2,1,3,4,0.55029022359874
2000,353,325,2,2,2,1,2,1,NA,5,2,2,2,1,2,1,NA,5,0.575109765410298
2001,353,325,2,2,2,1,2,2,NA,5,2,2,2,1,2,2,NA,5,0.496295488336359
2002,353,325,2,2,2,1,2,2,NA,3,2,2,2,1,2,2,NA,3,0.547916925785006
2003,353,325,2,2,2,0,2,1,NA,5,2,2,2,0,2,1,NA,5,0.628909026780339
2004,353,325,2,1,2,1,2,1,NA,6,2,1,2,1,2,1,NA,6,0.640589817932555
2005,353,325,2,2,2,1,2,2,NA,6,2,2,2,1,2,2,NA,6,0.608883633861578
2006,353,325,2,2,1,1,1,1,NA,NA,2,2,1,1,1,1,NA,NA,0.713108893638994
2007,353,325,2,1,2,1,2,2,NA,NA,2,1,2,1,2,2,NA,NA,0.499558266238562
2008,353,325,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.385046123227827
2009,353,325,2,1,2,0,3,2,NA,NA,2,1,2,0,3,2,NA,NA,0.167870888241267
2010,353,325,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.287126846577411
1992,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62704842807609
1993,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75422351960822
1994,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88209260794316
1995,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00780082091862
1996,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13087943110922
1997,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25335772296358
1998,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37247384731217
1999,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5003984855134
2000,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61980289683868
2001,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2.74429368885208
2002,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85321101846106
2003,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2.96255028976166
2004,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.0487856418743
2005,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.12506655681916
2006,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.1860054001795
2007,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.23199993746608
2008,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.26339778708135
2009,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.28764660016623
2010,548,331,2,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,3.30065201461411
1976,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.19888770093463
1977,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26814259141793
1978,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.33841955125098
1979,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.38821869206572
1980,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.42344831652051
1981,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.43923683753551
1982,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.43956413742812
1983,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.42643184469879
1984,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.40021727388651
1985,NA,338,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1.34509327704879
1986,NA,338,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.54141595437312
1987,NA,338,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1.66381073859278
1988,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.71468974692529
1989,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.77092308631092
1990,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.81529545170329
1991,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.85195304382724
1992,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.8856813462129
1993,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.90431346305074
1994,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.92104410095639
1995,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.93381777648863
1996,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.9378900644567
1997,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.94888414295749
1998,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.95050409973561
1999,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.95425872033952
2000,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.94425661983247
2001,431,338,2,2,2,2,NA,1,NA,NA,2,2,2,2,NA,1,NA,NA,1.935858951343
2002,NA,338,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.87190492001517
2003,431,338,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.78527111254907
2004,431,338,2,2,2,2,2,1,NA,NA,2,2,2,2,2,1,NA,NA,1.57303955662027
2005,431,338,2,2,2,2,2,1,NA,NA,2,2,2,2,2,1,NA,NA,1.44256267654417
2006,431,338,2,2,2,2,2,1,NA,NA,2,2,2,2,2,1,NA,NA,1.37515889126896
2007,431,338,2,2,2,2,2,1,NA,NA,2,2,2,2,2,1,NA,NA,1.34895036768615
2008,431,338,2,2,2,1,2,1,NA,NA,2,2,2,1,2,1,NA,NA,1.30819493501294
2009,431,338,2,2,1,2,1,1,NA,NA,2,2,1,2,1,1,NA,NA,1.42121263759347
2010,431,338,2,2,1,2,1,1,NA,NA,2,2,1,2,1,1,NA,NA,1.47835873667059
1976,NA,339,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-0.0584100030067091
1977,NA,339,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,-0.297146567082834
1978,NA,339,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,-0.495016982008731
1979,NA,339,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,-0.705258051425923
1980,NA,339,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.903411143061408
1981,104,339,1,0,0,0,3,3,NA,NA,1,0,0,0,3,3,NA,NA,-1.12256157458429
1982,104,339,2,0,0,0,3,3,NA,NA,2,0,0,0,3,3,NA,NA,-1.1570499768598
1983,104,339,2,0,0,0,3,3,NA,NA,2,0,0,0,3,3,NA,NA,-1.14535008651919
1984,104,339,1,0,0,0,3,3,NA,NA,1,0,0,0,3,3,NA,NA,-1.15640099300383
1985,104,339,2,NA,0,0,3,3,3,NA,2,NA,0,0,3,3,3,NA,-1.03222997999061
1986,104,339,2,NA,0,0,3,3,3,NA,2,NA,0,0,3,3,3,NA,-0.955078778134199
1987,104,339,2,NA,0,1,3,3,3,NA,2,NA,0,1,3,3,3,NA,-0.839378459356536
1988,104,339,2,NA,0,0,3,3,2,NA,2,NA,0,0,3,3,2,NA,-0.820254809042957
1989,104,339,2,NA,0,0,3,3,2,NA,2,NA,0,0,3,3,2,NA,-0.77669587672418
1990,104,339,2,1,0,0,3,3,3,NA,2,1,0,0,3,3,3,NA,-0.649626720962148
1991,104,339,2,1,0,1,3,2,2,NA,2,1,0,1,3,2,2,NA,-0.333351836257666
1992,104,339,2,2,1,1,2,2,1,NA,2,2,1,1,2,2,1,NA,-0.0202267118694363
1993,104,339,2,2,1,1,2,2,2,NA,2,2,1,1,2,2,2,NA,0.0202570197852375
1994,104,339,2,2,2,1,3,2,2,NA,2,2,2,1,3,2,2,NA,-0.0902618413915635
1995,104,339,2,0,1,1,3,2,2,4,2,0,1,1,3,2,2,4,-0.36316662215426
1996,104,339,2,1,1,0,3,2,2,4,2,1,1,0,3,2,2,4,-0.571151840775089
1997,104,339,2,1,1,0,4,4,2,4,2,1,1,0,4,4,2,4,-0.792059961596683
1998,104,339,2,1,1,1,3,2,3,3,2,1,1,1,3,2,3,3,-0.582278212649116
1999,104,339,2,1,2,0,3,3,3,1,2,1,2,0,3,3,3,1,-0.589915937030135
2000,104,339,2,1,0,0,3,2,NA,5,2,1,0,0,3,2,NA,5,-0.520426212020155
2001,104,339,2,2,2,0,3,2,NA,5,2,2,2,0,3,2,NA,5,-0.395443247428178
2002,104,339,2,2,2,0,3,3,NA,5,2,2,2,0,3,3,NA,5,-0.412028024427451
2003,104,339,2,1,2,0,2,2,NA,6,2,1,2,0,2,2,NA,6,-0.211181411348481
2004,104,339,2,1,2,1,3,2,NA,4,2,1,2,1,3,2,NA,4,-0.136583658526917
2005,104,339,2,2,2,1,2,3,NA,6,2,2,2,1,2,3,NA,6,-0.0355987357207545
2006,104,339,2,2,2,0,3,2,NA,NA,2,2,2,0,3,2,NA,NA,0.0822167641944783
2007,104,339,2,2,2,1,2,3,NA,NA,2,2,2,1,2,3,NA,NA,0.201048582592965
2008,104,339,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.362670341948971
2009,104,339,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.417520961777143
2010,104,339,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.431932522418876
2006,458,341,2,2,2,0,NA,NA,NA,NA,2,2,2,0,NA,NA,NA,NA,0.400900471610613
2007,458,341,2,2,2,0,2,2,NA,NA,2,2,2,0,2,2,NA,NA,0.442513211398998
2008,458,341,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.509516693057941
2009,458,341,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.546508875651733
2010,458,341,2,2,2,1,1,2,NA,NA,2,2,2,1,1,2,NA,NA,0.66407871963365
1992,NA,343,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,0.41170076567345
1993,413,343,2,2,2,1,2,1,2,NA,2,2,2,1,2,1,2,NA,0.544536374951694
1994,413,343,2,2,2,1,1,2,2,NA,2,2,2,1,1,2,2,NA,0.59700484742238
1995,413,343,2,2,2,1,NA,1,2,4,2,2,2,1,NA,1,2,4,0.591699130503258
1996,413,343,2,2,1,1,NA,1,2,4,2,2,1,1,NA,1,2,4,0.420513700914196
1997,413,343,2,2,1,1,3,2,2,4,2,2,1,1,3,2,2,4,0.133384644167172
1998,413,343,2,2,2,1,3,2,2,4,2,2,2,1,3,2,2,4,0.0688077462400151
1999,413,343,2,2,1,1,2,2,2,4,2,2,1,1,2,2,2,4,0.0439677447679391
2000,413,343,2,2,2,1,2,2,NA,4,2,2,2,1,2,2,NA,4,-0.154490732468843
2001,413,343,1,1,2,0,4,4,NA,5,1,1,2,0,4,4,NA,5,-0.741976375726546
2002,413,343,2,1,2,0,3,3,NA,5,2,1,2,0,3,3,NA,5,-0.610722942347938
2003,413,343,2,1,2,1,2,3,NA,3,2,1,2,1,2,3,NA,3,-0.265452519835305
2004,413,343,2,2,1,1,2,2,NA,3,2,2,1,1,2,2,NA,3,0.00978012905549511
2005,413,343,2,2,1,0,2,2,NA,2,2,2,1,0,2,2,NA,2,0.101992465684388
2006,413,343,2,2,1,0,2,2,NA,NA,2,2,1,0,2,2,NA,NA,0.181071268365676
2007,413,343,2,2,2,0,3,2,NA,NA,2,2,2,0,3,2,NA,NA,0.212728745924755
2008,413,343,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.35136527486768
2009,413,343,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.377894860387635
2010,413,343,2,2,1,1,2,2,NA,NA,2,2,1,1,2,2,NA,NA,0.335212949200658
1992,230,344,0,0,1,1,4,5,2,NA,0,0,1,1,4,5,2,NA,-1.48499656226255
1993,230,344,1,1,0,0,3,5,3,NA,1,1,0,0,3,5,3,NA,-1.41367252522356
1994,230,344,1,1,1,1,3,4,4,NA,1,1,1,1,3,4,4,NA,-1.27038791373752
1995,230,344,1,0,0,1,5,5,3,6,1,0,0,1,5,5,3,6,-1.34652681010723
1996,230,344,2,1,2,2,3,3,1,3,2,1,2,2,3,3,1,3,-0.778184326760343
1997,230,344,2,2,2,2,3,3,2,NA,2,2,2,2,3,3,2,NA,-0.515751652826944
1998,230,344,2,1,1,1,3,3,2,4,2,1,1,1,3,3,2,4,-0.426837593006878
1999,230,344,2,2,2,1,3,3,2,4,2,2,2,1,3,3,2,4,-0.125862024147879
2000,230,344,1,2,2,1,1,1,NA,4,1,2,2,1,1,1,NA,4,0.316605222077975
2001,230,344,2,2,1,1,2,2,NA,1,2,2,1,1,2,2,NA,1,0.37035683341134
2002,230,344,2,2,1,2,2,2,NA,1,2,2,1,2,2,2,NA,1,0.502675064978902
2003,230,344,2,2,2,1,2,2,NA,1,2,2,2,1,2,2,NA,1,0.567778568389378
2004,230,344,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.629325027817214
2005,230,344,2,2,2,1,2,2,NA,1,2,2,2,1,2,2,NA,1,0.735133481964815
2006,230,344,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,NA,NA,0.97686410029341
2007,230,344,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.41575291797819
2008,230,344,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.59389545878887
2009,230,344,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.60733693338959
2010,230,344,2,2,0,1,1,1,NA,NA,2,2,0,1,1,1,NA,NA,1.49185888842877
1976,NA,345,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.781296404400629
1977,NA,345,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.831414972563212
1978,NA,345,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.865048409425327
1979,NA,345,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.807869388989252
1980,NA,345,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,-0.67567910693808
1981,689,345,1,1,0,2,3,3,NA,NA,1,1,0,2,3,3,NA,NA,-0.785813432610089
1982,689,345,1,1,0,1,3,3,NA,NA,1,1,0,1,3,3,NA,NA,-0.820482629621294
1983,689,345,1,2,0,1,3,2,NA,NA,1,2,0,1,3,2,NA,NA,-0.65899957000933
1984,689,345,2,1,0,1,3,3,NA,NA,2,1,0,1,3,3,NA,NA,-0.710053484120475
1985,689,345,2,2,0,0,3,3,3,NA,2,2,0,0,3,3,3,NA,-0.713019695872415
1986,689,345,2,2,0,0,3,2,2,NA,2,2,0,0,3,2,2,NA,-0.596202899558858
1987,689,345,2,2,0,1,3,3,2,NA,2,2,0,1,3,3,2,NA,-0.680620744468622
1988,689,345,1,2,0,0,3,3,4,NA,1,2,0,0,3,3,4,NA,-0.960482318698704
1989,689,345,1,1,0,0,3,3,3,NA,1,1,0,0,3,3,3,NA,-1.06425612690379
1990,689,345,2,2,1,0,3,3,4,NA,2,2,1,0,3,3,4,NA,-1.10103271243485
1991,689,345,0,0,1,0,4,5,4,NA,0,0,1,0,4,5,4,NA,-1.61205712885068
1992,563,345,1,0,0,0,3,5,3,NA,1,0,0,0,3,5,3,NA,-1.68972580325327
1993,563,345,1,0,0,0,3,5,4,NA,1,0,0,0,3,5,4,NA,-1.7506236585867
1994,563,345,2,1,1,0,5,5,4,NA,2,1,1,0,5,5,4,NA,-1.77856213987052
1995,563,345,0,1,0,0,4,5,NA,5,0,1,0,0,4,5,NA,5,-1.79695145043483
1996,563,345,1,1,1,1,2,4,5,5,1,1,1,1,2,4,5,5,-1.62874824717479
1997,563,345,1,1,0,0,4,4,5,6,1,1,0,0,4,4,5,6,-1.87237171640858
1998,563,345,0,0,0,0,5,4,5,6,0,0,0,0,5,4,5,6,-2.13127201864951
1999,563,345,0,0,0,0,5,5,5,6,0,0,0,0,5,5,5,6,-2.20740680306326
2000,692,345,1,0,0,0,4,4,NA,5,1,0,0,0,4,4,NA,5,-1.79097921427058
2001,692,345,2,2,0,1,4,4,NA,4,2,2,0,1,4,4,NA,4,-1.29127284682271
2002,692,345,2,1,2,1,3,2,NA,5,2,1,2,1,3,2,NA,5,-0.793930629986485
2003,563,345,2,1,0,0,3,3,NA,6,2,1,0,0,3,3,NA,6,-0.714554993349304
2004,563,345,2,1,1,1,3,2,NA,5,2,1,1,1,3,2,NA,5,-0.406244856167082
2005,563,345,2,1,1,1,3,2,NA,5,2,1,1,1,3,2,NA,5,-0.204450002050608
2006,560,345,2,2,2,0,3,2,NA,NA,2,2,2,0,3,2,NA,NA,0.0492970272271819
2007,560,345,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.283062337942247
2008,560,345,2,1,2,1,2,2,NA,NA,2,1,2,1,2,2,NA,NA,0.278153828699402
2009,560,345,2,1,2,1,2,2,NA,NA,2,1,2,1,2,2,NA,NA,0.287139419439688
2010,560,345,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.359482836363389
1992,NA,346,NA,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,5,5,4,NA,-2.21607559508908
1993,NA,346,NA,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,5,5,4,NA,-2.23802680197639
1994,NA,346,NA,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,5,5,4,NA,-2.17231858568346
1995,NA,346,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,5,5,5,NA,-2.00765493753639
1996,NA,346,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,3,NA,-1.44002982335606
1997,NA,346,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,4,3,3,NA,-1.22933454944058
1998,NA,346,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,3,3,3,NA,-0.997483629201583
1999,NA,346,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,3,3,4,NA,-0.874122221395604
2000,NA,346,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,-0.65749660156601
2001,164,346,2,2,2,0,3,2,NA,1,2,2,2,0,3,2,NA,1,-0.27768773960851
2002,164,346,2,2,2,0,2,2,NA,5,2,2,2,0,2,2,NA,5,-0.0107364413337318
2003,164,346,2,2,2,0,2,2,NA,6,2,2,2,0,2,2,NA,6,0.187408392771711
2004,164,346,2,2,2,1,2,2,NA,1,2,2,2,1,2,2,NA,1,0.388563540934386
2005,164,346,2,2,2,1,2,2,NA,1,2,2,2,1,2,2,NA,1,0.458258652270444
2006,164,346,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.481100646464849
2007,164,346,2,2,2,0,2,2,NA,NA,2,2,2,0,2,2,NA,NA,0.443188653832466
2008,164,346,2,2,2,1,2,2,NA,NA,2,2,2,1,2,2,NA,NA,0.428677458163348
2009,164,346,2,2,2,0,2,2,NA,NA,2,2,2,0,2,2,NA,NA,0.342749291934667
2010,164,346,2,2,2,0,2,2,NA,NA,2,2,2,0,2,2,NA,NA,0.305337638315242
2008,NA,347,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.08086573515326
2009,NA,347,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1.00380072527668
2010,NA,347,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.14372671661534
1992,578,349,2,2,2,2,NA,NA,1,NA,2,2,2,2,NA,NA,1,NA,1.93905543643835
1993,578,349,2,2,2,2,NA,NA,1,NA,2,2,2,2,NA,NA,1,NA,2.03590171406821
1994,578,349,2,2,2,2,NA,NA,1,NA,2,2,2,2,NA,NA,1,NA,2.07510851443864
1995,578,349,2,2,2,2,NA,NA,1,6,2,2,2,2,NA,NA,1,6,2.03375047760867
1996,578,349,2,2,2,2,NA,NA,1,4,2,2,2,2,NA,NA,1,4,1.99520010455292
1997,578,349,2,2,2,2,NA,1,1,4,2,2,2,2,NA,1,1,4,1.94268775644381
1998,578,349,2,2,2,2,NA,1,1,4,2,2,2,2,NA,1,1,4,1.85610913206247
1999,578,349,2,2,2,2,NA,1,1,4,2,2,2,2,NA,1,1,4,1.71030920829117
2000,578,349,2,2,2,1,2,1,NA,4,2,2,2,1,2,1,NA,4,1.46736594377999
2001,578,349,2,2,2,2,NA,1,NA,3,2,2,2,2,NA,1,NA,3,1.54900116910379
2002,578,349,2,2,2,2,NA,1,NA,1,2,2,2,2,NA,1,NA,1,1.57297906200206
2003,578,349,2,2,2,1,2,1,NA,1,2,2,2,1,2,1,NA,1,1.46457311649378
2004,578,349,2,2,2,1,1,1,NA,3,2,2,2,1,1,1,NA,3,1.5280529633549
2005,578,349,2,2,2,1,1,1,NA,1,2,2,2,1,1,1,NA,1,1.60952339733406
2006,578,349,2,2,2,1,1,1,NA,NA,2,2,2,1,1,1,NA,NA,1.68196601663741
2007,578,349,2,2,2,1,1,1,NA,NA,2,2,2,1,1,1,NA,NA,1.79143363679464
2008,578,349,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.91392669612747
2009,578,349,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,1.92969555751133
2010,578,349,2,2,2,1,1,1,NA,NA,2,2,2,1,1,1,NA,NA,1.87485501783375
1976,NA,350,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0.535330045844016
1977,NA,350,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0.669662520323365
1978,NA,350,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0.744822371762349
1979,NA,350,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0.786665031324136
1980,NA,350,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,0.798218483663735
1981,305,350,2,2,1,2,2,1,NA,NA,2,2,1,2,2,1,NA,NA,0.761250529071552
1982,305,350,2,2,0,2,2,1,NA,NA,2,2,0,2,2,1,NA,NA,0.678121966208913
1983,305,350,2,1,0,1,2,1,NA,NA,2,1,0,1,2,1,NA,NA,0.521266727443015
1984,305,350,2,2,0,1,2,1,NA,NA,2,2,0,1,2,1,NA,NA,0.530210394946815
1985,305,350,2,1,0,2,2,1,2,NA,2,1,0,2,2,1,2,NA,0.462639490030263
1986,305,350,2,1,0,2,3,1,1,NA,2,1,0,2,3,1,1,NA,0.348086595684636
1987,305,350,2,2,1,1,2,2,3,NA,2,2,1,1,2,2,3,NA,0.237494698609054
1988,305,350,2,2,0,1,2,2,2,NA,2,2,0,1,2,2,2,NA,0.190466809847153
1989,305,350,2,1,0,2,2,2,3,NA,2,1,0,2,2,2,3,NA,0.204556580973159
1990,305,350,2,2,1,1,2,1,2,NA,2,2,1,1,2,1,2,NA,0.442872495667463
1991,305,350,2,2,2,2,2,1,2,NA,2,2,2,2,2,1,2,NA,0.521386576502685
1992,305,350,2,2,2,1,2,2,1,NA,2,2,2,1,2,2,1,NA,0.332828429425085
1993,305,350,1,2,1,1,2,2,3,NA,1,2,1,1,2,2,3,NA,0.0736811657555504
1994,305,350,2,2,0,1,3,2,2,NA,2,2,0,1,3,2,2,NA,0.0250257304920208
1995,305,350,2,2,2,0,NA,2,3,4,2,2,2,0,NA,2,3,4,0.0729474160867388
1996,305,350,2,2,1,1,3,1,2,1,2,2,1,1,3,1,2,1,0.22948743000098
1997,305,350,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,0.321144214421113
1998,305,350,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0.468369851809821
1999,305,350,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,0.501779472455859
2000,305,350,2,2,2,1,2,1,NA,1,2,2,2,1,2,1,NA,1,0.544914270159899
2001,305,350,2,2,2,0,2,2,NA,3,2,2,2,0,2,2,NA,3,0.36001073055194
2002,305,350,2,2,2,1,2,2,NA,5,2,2,2,1,2,2,NA,5,0.313408409644124
2003,305,350,2,1,2,0,2,2,NA,1,2,1,2,0,2,2,NA,1,0.2177431474263
2004,305,350,2,2,2,0,2,2,NA,1,2,2,2,0,2,2,NA,1,0.231971582356069
2005,305,350,2,2,1,1,2,2,NA,1,2,2,1,1,2,2,NA,1,0.184308756266385
2006,305,350,2,2,1,0,2,3,NA,NA,2,2,1,0,2,3,NA,NA,-0.0220100179355136
2007,305,350,2,1,1,1,3,2,NA,NA,2,1,1,1,3,2,NA,NA,-0.110601849024756
2008,305,350,2,1,1,0,3,2,NA,NA,2,1,1,0,3,2,NA,NA,-0.194741940132865
2009,305,350,2,2,1,0,3,2,NA,NA,2,2,1,0,3,2,NA,NA,-0.107242678125938
